source_id,source_type,target_id,target_type,edge_type,timestamp,weight,confidence,source_record_id
PERSON_0004,PERSON,PERSON_1191,PERSON,ASSOCIATED_WITH,2026-05-11 22:03:50,1.0,0.73,CDR_AGG_PERSON_0004_PERSON_1191
PERSON_0010,PERSON,PERSON_1214,PERSON,ASSOCIATED_WITH,2025-12-18 07:08:03,0.9,0.79,CDR_AGG_PERSON_0010_PERSON_1214
PERSON_0026,PERSON,PERSON_0397,PERSON,POTENTIAL_OPERATIONAL_LINK,2025-08-29 21:20:50,0.1,0.82,CDR_AGG_PERSON_0026_PERSON_0397
PERSON_1476,PERSON,PERSON_0026,PERSON,POTENTIAL_OPERATIONAL_LINK,2025-08-29 21:36:50,0.15,0.93,CDR_AGG_PERSON_1476_PERSON_0026
PERSON_0027,PERSON,PERSON_0248,PERSON,ASSOCIATED_WITH,2026-02-23 12:38:11,1.0,0.57,CDR_AGG_PERSON_0027_PERSON_0248
PERSON_0030,PERSON,PERSON_0180,PERSON,POTENTIAL_OPERATIONAL_LINK,2025-10-20 15:35:44,0.15,0.87,CDR_AGG_PERSON_0030_PERSON_0180
PERSON_0037,PERSON,PERSON_1449,PERSON,POTENTIAL_OPERATIONAL_LINK,2025-01-19 20:47:00,0.15,0.88,CDR_AGG_PERSON_0037_PERSON_1449
PERSON_0037,PERSON,PERSON_1499,PERSON,POTENTIAL_OPERATIONAL_LINK,2025-01-19 20:55:00,0.15,0.83,CDR_AGG_PERSON_0037_PERSON_1499
PERSON_0055,PERSON,PERSON_0867,PERSON,ASSOCIATED_WITH,2026-06-28 07:36:59,1.0,0.66,CDR_AGG_PERSON_0055_PERSON_0867
PERSON_0077,PERSON,PERSON_1318,PERSON,ASSOCIATED_WITH,2026-06-12 07:39:54,1.0,0.67,CDR_AGG_PERSON_0077_PERSON_1318
PERSON_0096,PERSON,PERSON_0950,PERSON,POTENTIAL_OPERATIONAL_LINK,2025-11-18 16:28:44,0.2,0.94,CDR_AGG_PERSON_0096_PERSON_0950
PERSON_0098,PERSON,PERSON_0177,PERSON,ASSOCIATED_WITH,2026-06-02 21:08:40,1.0,0.75,CDR_AGG_PERSON_0098_PERSON_0177
PERSON_0104,PERSON,PERSON_1433,PERSON,POTENTIAL_OPERATIONAL_LINK,2025-10-20 16:19:44,0.25,0.82,CDR_AGG_PERSON_0104_PERSON_1433
PERSON_0105,PERSON,PERSON_1002,PERSON,POTENTIAL_OPERATIONAL_LINK,2025-05-14 16:33:21,0.25,0.79,CDR_AGG_PERSON_0105_PERSON_1002
PERSON_0105,PERSON,PERSON_1008,PERSON,POTENTIAL_OPERATIONAL_LINK,2025-05-14 16:53:21,0.1,0.85,CDR_AGG_PERSON_0105_PERSON_1008
PERSON_0138,PERSON,PERSON_0871,PERSON,ASSOCIATED_WITH,2026-06-22 19:31:24,1.0,0.57,CDR_AGG_PERSON_0138_PERSON_0871
PERSON_0173,PERSON,PERSON_0369,PERSON,ASSOCIATED_WITH,2026-06-29 20:48:04,1.0,0.58,CDR_AGG_PERSON_0173_PERSON_0369
PERSON_0180,PERSON,PERSON_0551,PERSON,POTENTIAL_OPERATIONAL_LINK,2025-10-20 15:53:44,0.1,0.87,CDR_AGG_PERSON_0180_PERSON_0551
PERSON_0216,PERSON,PERSON_1329,PERSON,ASSOCIATED_WITH,2026-06-27 08:04:20,1.0,0.71,CDR_AGG_PERSON_0216_PERSON_1329
PERSON_0217,PERSON,PERSON_1217,PERSON,ASSOCIATED_WITH,2026-05-04 03:53:35,1.0,0.65,CDR_AGG_PERSON_0217_PERSON_1217
PERSON_0225,PERSON,PERSON_0806,PERSON,ASSOCIATED_WITH,2026-05-21 07:55:05,1.0,0.66,CDR_AGG_PERSON_0225_PERSON_0806
PERSON_0243,PERSON,PERSON_0559,PERSON,ASSOCIATED_WITH,2026-06-27 21:12:04,1.0,0.78,CDR_AGG_PERSON_0243_PERSON_0559
PERSON_0256,PERSON,PERSON_1046,PERSON,POTENTIAL_OPERATIONAL_LINK,2025-06-17 19:39:20,0.1,0.93,CDR_AGG_PERSON_0256_PERSON_1046
PERSON_0256,PERSON,PERSON_1376,PERSON,POTENTIAL_OPERATIONAL_LINK,2025-06-17 19:31:20,0.1,0.84,CDR_AGG_PERSON_0256_PERSON_1376
PERSON_0261,PERSON,PERSON_0534,PERSON,ASSOCIATED_WITH,2026-04-30 04:35:28,1.0,0.66,CDR_AGG_PERSON_0261_PERSON_0534
PERSON_0265,PERSON,PERSON_0730,PERSON,ASSOCIATED_WITH,2026-03-26 09:52:11,1.0,0.69,CDR_AGG_PERSON_0265_PERSON_0730
PERSON_0266,PERSON,PERSON_1170,PERSON,POTENTIAL_OPERATIONAL_LINK,2025-12-31 21:07:31,0.25,0.75,CDR_AGG_PERSON_0266_PERSON_1170
PERSON_0294,PERSON,PERSON_0440,PERSON,ASSOCIATED_WITH,2026-06-27 05:34:10,1.0,0.78,CDR_AGG_PERSON_0294_PERSON_0440
PERSON_0339,PERSON,PERSON_1432,PERSON,ASSOCIATED_WITH,2026-05-08 01:39:21,1.0,0.76,CDR_AGG_PERSON_0339_PERSON_1432
PERSON_0367,PERSON,PERSON_0413,PERSON,ASSOCIATED_WITH,2026-06-25 04:33:44,1.0,0.75,CDR_AGG_PERSON_0367_PERSON_0413
