link_id,case_ids,shared_entity_type,shared_entity_id
XCASE_001,CASE_0274;CASE_0245;CASE_0165,PERSON,PERSON_0618
XCASE_002,CASE_0082;CASE_0039,ORGANIZATION,ORG_0022
XCASE_003,CASE_0271;CASE_0178;CASE_0217,PERSON,PERSON_0661
XCASE_004,CASE_0069;CASE_0254;CASE_0215,PERSON,PERSON_0112
XCASE_005,CASE_0251;CASE_0066;CASE_0122,PERSON,PERSON_1355
XCASE_006,CASE_0142;CASE_0093,LOCATION,LOCATION_0243
XCASE_007,CASE_0056;CASE_0120;CASE_0181,PERSON,PERSON_0804
XCASE_008,CASE_0126;CASE_0250;CASE_0299,PERSON,PERSON_0749
XCASE_009,CASE_0030;CASE_0145;CASE_0043,LOCATION,LOCATION_0011
XCASE_010,CASE_0261;CASE_0149,ORGANIZATION,ORG_0062
XCASE_011,CASE_0102;CASE_0300;CASE_0174,PERSON,PERSON_0550
XCASE_012,CASE_0117;CASE_0190,PERSON,PERSON_1384
XCASE_013,CASE_0235;CASE_0156,PERSON,PERSON_0044
XCASE_014,CASE_0246;CASE_0172,PERSON,PERSON_0920
XCASE_015,CASE_0076;CASE_0205,LOCATION,LOCATION_0046
XCASE_016,CASE_0110;CASE_0159,ORGANIZATION,ORG_0292
XCASE_017,CASE_0115;CASE_0121;CASE_0067,LOCATION,LOCATION_0166
XCASE_018,CASE_0218;CASE_0288,PERSON,PERSON_1336
XCASE_019,CASE_0047;CASE_0277,PERSON,PERSON_0836
XCASE_020,CASE_0239;CASE_0075;CASE_0077,PERSON,PERSON_1014
XCASE_021,CASE_0286;CASE_0194,LOCATION,LOCATION_0091
XCASE_022,CASE_0051;CASE_0042;CASE_0211,PERSON,PERSON_0846
XCASE_023,CASE_0189;CASE_0128;CASE_0216,PERSON,PERSON_0207
XCASE_024,CASE_0262;CASE_0084,LOCATION,LOCATION_0175
XCASE_025,CASE_0041;CASE_0014,PERSON,PERSON_0119
XCASE_026,CASE_0183;CASE_0202;CASE_0185,ORGANIZATION,ORG_0156
XCASE_027,CASE_0255;CASE_0203,PERSON,PERSON_0264
XCASE_028,CASE_0101;CASE_0019;CASE_0187,PERSON,PERSON_0077
XCASE_029,CASE_0099;CASE_0063;CASE_0266,PERSON,PERSON_0463
XCASE_030,CASE_0046;CASE_0201;CASE_0119,PERSON,PERSON_1142
XCASE_031,CASE_0147;CASE_0114,ORGANIZATION,ORG_0157
XCASE_032,CASE_0265;CASE_0164,PERSON,PERSON_0822
XCASE_NET_NET_001,CASE_0001,NETWORK,NET_001
XCASE_NET_NET_002,CASE_0002,NETWORK,NET_002
XCASE_NET_NET_003,CASE_0003,NETWORK,NET_003
XCASE_NET_NET_004,CASE_0004,NETWORK,NET_004
XCASE_NET_NET_005,CASE_0005,NETWORK,NET_005
XCASE_NET_NET_006,CASE_0006,NETWORK,NET_006
XCASE_NET_NET_007,CASE_0007,NETWORK,NET_007
XCASE_NET_NET_008,CASE_0008,NETWORK,NET_008
XCASE_NET_NET_009,CASE_0009,NETWORK,NET_009
XCASE_NET_NET_010,CASE_0010,NETWORK,NET_010
XCASE_NET_NET_011,CASE_0011,NETWORK,NET_011
XCASE_NET_NET_012,CASE_0012,NETWORK,NET_012
