co_travel_id,person_id_1,person_id_2,vehicle_id_1,vehicle_id_2,n_shared_trips,strength,has_direct_calls
COTRAVEL_STRONG_001,PERSON_1073,PERSON_1196,VEHICLE_00625,VEHICLE_00681,9,strong,False
COTRAVEL_STRONG_002,PERSON_0106,PERSON_0677,VEHICLE_00608,VEHICLE_00027,8,strong,False
COTRAVEL_STRONG_003,PERSON_0915,PERSON_0236,VEHICLE_00446,VEHICLE_00571,8,strong,False
COTRAVEL_STRONG_004,PERSON_0772,PERSON_0058,VEHICLE_00164,VEHICLE_00439,4,strong,False
COTRAVEL_STRONG_005,PERSON_0144,PERSON_1465,VEHICLE_00648,VEHICLE_00191,9,strong,False
COTRAVEL_STRONG_006,PERSON_0084,PERSON_0937,VEHICLE_00338,VEHICLE_00510,9,strong,False
COTRAVEL_STRONG_007,PERSON_0248,PERSON_1434,VEHICLE_00190,VEHICLE_00448,6,strong,False
COTRAVEL_STRONG_008,PERSON_1119,PERSON_0289,VEHICLE_00217,VEHICLE_00226,9,strong,False
COTRAVEL_STRONG_009,PERSON_0671,PERSON_1302,VEHICLE_00055,VEHICLE_00587,7,strong,False
COTRAVEL_STRONG_010,PERSON_0080,PERSON_1107,VEHICLE_00506,VEHICLE_00156,5,strong,False
COTRAVEL_STRONG_011,PERSON_1276,PERSON_1450,VEHICLE_00739,VEHICLE_00347,5,strong,False
COTRAVEL_STRONG_012,PERSON_0607,PERSON_1244,VEHICLE_00461,VEHICLE_00142,5,strong,False
COTRAVEL_STRONG_013,PERSON_0942,PERSON_1111,VEHICLE_00424,VEHICLE_00584,5,strong,False
COTRAVEL_STRONG_014,PERSON_1433,PERSON_0621,VEHICLE_00065,VEHICLE_00710,6,strong,False
COTRAVEL_STRONG_015,PERSON_1004,PERSON_0836,VEHICLE_00228,VEHICLE_00302,8,strong,False
COTRAVEL_STRONG_016,PERSON_0950,PERSON_1295,VEHICLE_00025,VEHICLE_00548,4,strong,False
COTRAVEL_STRONG_017,PERSON_1140,PERSON_1082,VEHICLE_00233,VEHICLE_00258,4,strong,False
COTRAVEL_STRONG_018,PERSON_0178,PERSON_0934,VEHICLE_00264,VEHICLE_00576,8,strong,False
COTRAVEL_STRONG_019,PERSON_0978,PERSON_0830,VEHICLE_00652,VEHICLE_00499,5,strong,False
COTRAVEL_STRONG_020,PERSON_0279,PERSON_1446,VEHICLE_00563,VEHICLE_00695,5,strong,False
COTRAVEL_STRONG_021,PERSON_0222,PERSON_0377,VEHICLE_00354,VEHICLE_00609,6,strong,False
COTRAVEL_STRONG_022,PERSON_0914,PERSON_0217,VEHICLE_00596,VEHICLE_00296,8,strong,False
COTRAVEL_STRONG_023,PERSON_1130,PERSON_0047,VEHICLE_00118,VEHICLE_00333,7,strong,False
COTRAVEL_STRONG_024,PERSON_0297,PERSON_0960,VEHICLE_00412,VEHICLE_00223,5,strong,False
COTRAVEL_STRONG_025,PERSON_0842,PERSON_0570,VEHICLE_00117,VEHICLE_00523,7,strong,False
