record_id,candidate_person_id,true_person_id,match_label,confidence
TRAP_001,PERSON_0096,PERSON_0404,NO_MATCH_DIFFERENT_PERSON,0.68
TRAP_002,PERSON_1057,PERSON_1142,NO_MATCH_DIFFERENT_PERSON,0.6
TRAP_003,PERSON_1290,PERSON_1247,NO_MATCH_DIFFERENT_PERSON,0.81
TRAP_004,PERSON_0817,PERSON_0042,NO_MATCH_DIFFERENT_PERSON,0.89
TRAP_005,PERSON_1071,PERSON_0464,NO_MATCH_DIFFERENT_PERSON,0.71
TRAP_006,PERSON_0273,PERSON_0080,NO_MATCH_DIFFERENT_PERSON,0.66
TRAP_007,PERSON_1396,PERSON_1098,NO_MATCH_DIFFERENT_PERSON,0.79
TRAP_008,PERSON_1200,PERSON_0598,NO_MATCH_DIFFERENT_PERSON,0.83
TRAP_009,PERSON_0956,PERSON_1243,NO_MATCH_DIFFERENT_PERSON,0.67
TRAP_010,PERSON_0605,PERSON_1277,NO_MATCH_DIFFERENT_PERSON,0.55
TRAP_011,PERSON_0071,PERSON_0135,NO_MATCH_DIFFERENT_PERSON,0.56
TRAP_012,PERSON_1203,PERSON_0668,NO_MATCH_DIFFERENT_PERSON,0.85
TRAP_013,PERSON_0137,PERSON_0396,NO_MATCH_DIFFERENT_PERSON,0.56
TRAP_014,PERSON_1190,PERSON_0793,NO_MATCH_DIFFERENT_PERSON,0.65
TRAP_015,PERSON_1168,PERSON_1146,NO_MATCH_DIFFERENT_PERSON,0.52
TRAP_016,PERSON_1423,PERSON_0714,NO_MATCH_DIFFERENT_PERSON,0.86
TRAP_017,PERSON_0388,PERSON_0276,NO_MATCH_DIFFERENT_PERSON,0.54
TRAP_018,PERSON_1119,PERSON_0657,NO_MATCH_DIFFERENT_PERSON,0.78
TRAP_019,PERSON_0162,PERSON_0842,NO_MATCH_DIFFERENT_PERSON,0.82
TRAP_020,PERSON_0975,PERSON_0816,NO_MATCH_DIFFERENT_PERSON,0.61
TRAP_021,PERSON_0623,PERSON_0214,NO_MATCH_DIFFERENT_PERSON,0.52
TRAP_022,PERSON_0659,PERSON_1093,NO_MATCH_DIFFERENT_PERSON,0.84
TRAP_023,PERSON_0288,PERSON_0446,NO_MATCH_DIFFERENT_PERSON,0.5
TRAP_024,PERSON_0992,PERSON_0447,NO_MATCH_DIFFERENT_PERSON,0.53
TRAP_025,PERSON_1425,PERSON_1078,NO_MATCH_DIFFERENT_PERSON,0.66
TRAP_026,PERSON_0559,PERSON_1109,NO_MATCH_DIFFERENT_PERSON,0.62
TRAP_027,PERSON_0603,PERSON_1444,NO_MATCH_DIFFERENT_PERSON,0.59
TRAP_028,PERSON_0187,PERSON_0337,NO_MATCH_DIFFERENT_PERSON,0.8
TRAP_029,PERSON_0134,PERSON_0869,NO_MATCH_DIFFERENT_PERSON,0.57
TRAP_030,PERSON_0721,PERSON_0661,NO_MATCH_DIFFERENT_PERSON,0.75
TRAP_031,PERSON_1357,PERSON_0924,NO_MATCH_DIFFERENT_PERSON,0.52
TRAP_032,PERSON_0124,PERSON_0733,NO_MATCH_DIFFERENT_PERSON,0.62
TRAP_033,PERSON_0850,PERSON_1341,NO_MATCH_DIFFERENT_PERSON,0.66
TRAP_034,PERSON_0641,PERSON_1028,NO_MATCH_DIFFERENT_PERSON,0.78
TRAP_035,PERSON_1239,PERSON_0595,NO_MATCH_DIFFERENT_PERSON,0.62
TRAP_036,PERSON_0748,PERSON_0164,NO_MATCH_DIFFERENT_PERSON,0.84
TRAP_037,PERSON_0234,PERSON_1195,NO_MATCH_DIFFERENT_PERSON,0.78
TRAP_038,PERSON_1023,PERSON_0505,NO_MATCH_DIFFERENT_PERSON,0.74
TRAP_039,PERSON_0353,PERSON_1437,NO_MATCH_DIFFERENT_PERSON,0.89
TRAP_040,PERSON_1030,PERSON_0491,NO_MATCH_DIFFERENT_PERSON,0.57
TRAP_041,PERSON_1170,PERSON_0757,NO_MATCH_DIFFERENT_PERSON,0.61
TRAP_042,PERSON_0765,PERSON_0809,NO_MATCH_DIFFERENT_PERSON,0.56
TRAP_043,PERSON_1244,PERSON_0119,NO_MATCH_DIFFERENT_PERSON,0.53
TRAP_044,PERSON_1335,PERSON_0717,NO_MATCH_DIFFERENT_PERSON,0.61
TRAP_045,PERSON_1431,PERSON_0027,NO_MATCH_DIFFERENT_PERSON,0.68
TRAP_046,PERSON_0304,PERSON_0545,NO_MATCH_DIFFERENT_PERSON,0.67
TRAP_047,PERSON_0953,PERSON_1311,NO_MATCH_DIFFERENT_PERSON,0.57
TRAP_048,PERSON_1424,PERSON_0152,NO_MATCH_DIFFERENT_PERSON,0.66
TRAP_049,PERSON_0768,PERSON_1452,NO_MATCH_DIFFERENT_PERSON,0.76
TRAP_050,PERSON_0936,PERSON_0150,NO_MATCH_DIFFERENT_PERSON,0.52
TRAP_051,PERSON_1066,PERSON_0361,NO_MATCH_DIFFERENT_PERSON,0.89
TRAP_052,PERSON_0510,PERSON_1094,NO_MATCH_DIFFERENT_PERSON,0.77
TRAP_053,PERSON_0378,PERSON_0159,NO_MATCH_DIFFERENT_PERSON,0.72
TRAP_054,PERSON_1391,PERSON_1471,NO_MATCH_DIFFERENT_PERSON,0.51
TRAP_055,PERSON_0090,PERSON_0814,NO_MATCH_DIFFERENT_PERSON,0.66
TRAP_056,PERSON_0797,PERSON_1451,NO_MATCH_DIFFERENT_PERSON,0.57
TRAP_057,PERSON_0401,PERSON_0698,NO_MATCH_DIFFERENT_PERSON,0.7
TRAP_058,PERSON_1141,PERSON_0390,NO_MATCH_DIFFERENT_PERSON,0.52
TRAP_059,PERSON_0581,PERSON_0968,NO_MATCH_DIFFERENT_PERSON,0.88
TRAP_060,PERSON_0240,PERSON_1137,NO_MATCH_DIFFERENT_PERSON,0.59
