network_id,person_id,influence_type,is_criminally_significant
NET_001,PERSON_1476,upstream_coordinator,True
NET_001,PERSON_0026,broker_connecting_communities,True
NET_001,PERSON_0397,broker_connecting_communities,True
NET_001,PERSON_0553,innocent_high_degree,False
NET_002,PERSON_1104,upstream_coordinator,True
NET_002,PERSON_1226,broker_connecting_communities,True
NET_002,PERSON_0969,broker_connecting_communities,True
NET_003,PERSON_0486,upstream_coordinator,True
NET_003,PERSON_0833,broker_connecting_communities,True
NET_004,PERSON_1060,upstream_coordinator,True
NET_004,PERSON_0720,broker_connecting_communities,True
NET_004,PERSON_0950,broker_connecting_communities,True
NET_005,PERSON_1008,upstream_coordinator,True
NET_005,PERSON_1002,broker_connecting_communities,True
NET_006,PERSON_1190,upstream_coordinator,True
NET_006,PERSON_1170,broker_connecting_communities,True
NET_006,PERSON_1352,innocent_high_degree,False
NET_007,PERSON_1499,upstream_coordinator,True
NET_007,PERSON_0037,broker_connecting_communities,True
NET_007,PERSON_1449,broker_connecting_communities,True
NET_008,PERSON_0398,upstream_coordinator,True
NET_008,PERSON_0736,broker_connecting_communities,True
NET_008,PERSON_1285,innocent_high_degree,False
NET_009,PERSON_0671,upstream_coordinator,True
NET_009,PERSON_0639,broker_connecting_communities,True
NET_009,PERSON_1203,broker_connecting_communities,True
NET_010,PERSON_0104,upstream_coordinator,True
NET_010,PERSON_1433,broker_connecting_communities,True
NET_011,PERSON_1242,upstream_coordinator,True
NET_011,PERSON_0256,broker_connecting_communities,True
NET_012,PERSON_0423,upstream_coordinator,True
NET_012,PERSON_0784,broker_connecting_communities,True
