network_id,person_id,role,pattern,case_id
NET_001,PERSON_1476,UPSTREAM_COORDINATOR,FLAGSHIP_ABCDE,CASE_0001
NET_001,PERSON_0026,BROKER,FLAGSHIP_ABCDE,CASE_0001
NET_001,PERSON_0397,BROKER,FLAGSHIP_ABCDE,CASE_0001
NET_001,PERSON_0405,OPERATIONAL_MEMBER,FLAGSHIP_ABCDE,CASE_0001
NET_001,PERSON_1459,OPERATIONAL_MEMBER,FLAGSHIP_ABCDE,CASE_0001
NET_001,PERSON_0721,FINANCIAL_FACILITATOR,FLAGSHIP_ABCDE,CASE_0001
NET_001,PERSON_0553,HIGH_DEGREE_INNOCENT,FLAGSHIP_ABCDE,CASE_0001
NET_001,PERSON_0547,RECRUITER,FLAGSHIP_ABCDE,CASE_0001
NET_001,PERSON_1428,PERIPHERAL_ASSOCIATE,FLAGSHIP_ABCDE,CASE_0001
NET_001,PERSON_0994,PERIPHERAL_ASSOCIATE,FLAGSHIP_ABCDE,CASE_0001
NET_001,PERSON_1221,INNOCENT_CONTACT,FLAGSHIP_ABCDE,CASE_0001
NET_001,PERSON_0796,INNOCENT_CONTACT,FLAGSHIP_ABCDE,CASE_0001
NET_001,PERSON_1248,PERIPHERAL_ASSOCIATE,FLAGSHIP_ABCDE,CASE_0001
NET_001,PERSON_1213,PERIPHERAL_ASSOCIATE,FLAGSHIP_ABCDE,CASE_0001
NET_001,PERSON_0167,PERIPHERAL_ASSOCIATE,FLAGSHIP_ABCDE,CASE_0001
NET_002,PERSON_1104,UPSTREAM_COORDINATOR,PATTERN3_CONVERGENT,CASE_0002
NET_002,PERSON_1226,BROKER,PATTERN3_CONVERGENT,CASE_0002
NET_002,PERSON_0969,BROKER,PATTERN3_CONVERGENT,CASE_0002
NET_002,PERSON_0809,OPERATIONAL_MEMBER,PATTERN3_CONVERGENT,CASE_0002
NET_002,PERSON_0463,FINANCIAL_FACILITATOR,PATTERN3_CONVERGENT,CASE_0002
NET_002,PERSON_0993,PERIPHERAL_ASSOCIATE,PATTERN3_CONVERGENT,CASE_0002
NET_002,PERSON_0758,PERIPHERAL_ASSOCIATE,PATTERN3_CONVERGENT,CASE_0002
NET_002,PERSON_0829,PERIPHERAL_ASSOCIATE,PATTERN3_CONVERGENT,CASE_0002
NET_002,PERSON_1223,INNOCENT_CONTACT,PATTERN3_CONVERGENT,CASE_0002
NET_002,PERSON_0360,INNOCENT_CONTACT,PATTERN3_CONVERGENT,CASE_0002
NET_002,PERSON_0971,OPERATIONAL_MEMBER,PATTERN3_CONVERGENT,CASE_0002
NET_002,PERSON_0427,OPERATIONAL_MEMBER,PATTERN3_CONVERGENT,CASE_0002
NET_002,PERSON_0107,OPERATIONAL_MEMBER,PATTERN3_CONVERGENT,CASE_0002
NET_002,PERSON_0332,OPERATIONAL_MEMBER,PATTERN3_CONVERGENT,CASE_0002
NET_002,PERSON_1469,OPERATIONAL_MEMBER,PATTERN3_CONVERGENT,CASE_0002
NET_003,PERSON_0486,UPSTREAM_COORDINATOR,PATTERN4_BRANCH,CASE_0003
NET_003,PERSON_1343,PERIPHERAL_ASSOCIATE,PATTERN4_BRANCH,CASE_0003
NET_003,PERSON_0833,BROKER,PATTERN4_BRANCH,CASE_0003
NET_003,PERSON_1232,OPERATIONAL_MEMBER,PATTERN4_BRANCH,CASE_0003
NET_003,PERSON_0851,FINANCIAL_FACILITATOR,PATTERN4_BRANCH,CASE_0003
NET_003,PERSON_1337,PERIPHERAL_ASSOCIATE,PATTERN4_BRANCH,CASE_0003
NET_003,PERSON_0163,PERIPHERAL_ASSOCIATE,PATTERN4_BRANCH,CASE_0003
NET_003,PERSON_1031,PERIPHERAL_ASSOCIATE,PATTERN4_BRANCH,CASE_0003
NET_003,PERSON_0321,INNOCENT_CONTACT,PATTERN4_BRANCH,CASE_0003
NET_003,PERSON_1349,INNOCENT_CONTACT,PATTERN4_BRANCH,CASE_0003
NET_003,PERSON_0754,OPERATIONAL_MEMBER,PATTERN4_BRANCH,CASE_0003
NET_003,PERSON_0818,OPERATIONAL_MEMBER,PATTERN4_BRANCH,CASE_0003
NET_003,PERSON_0147,OPERATIONAL_MEMBER,PATTERN4_BRANCH,CASE_0003
NET_003,PERSON_0211,OPERATIONAL_MEMBER,PATTERN4_BRANCH,CASE_0003
NET_003,PERSON_0705,OPERATIONAL_MEMBER,PATTERN4_BRANCH,CASE_0003
NET_004,PERSON_1060,UPSTREAM_COORDINATOR,PATTERN3_CONVERGENT,CASE_0004
NET_004,PERSON_0720,BROKER,PATTERN3_CONVERGENT,CASE_0004
NET_004,PERSON_0950,BROKER,PATTERN3_CONVERGENT,CASE_0004
NET_004,PERSON_0096,OPERATIONAL_MEMBER,PATTERN3_CONVERGENT,CASE_0004
NET_004,PERSON_0606,FINANCIAL_FACILITATOR,PATTERN3_CONVERGENT,CASE_0004
NET_004,PERSON_0831,PERIPHERAL_ASSOCIATE,PATTERN3_CONVERGENT,CASE_0004
NET_004,PERSON_0909,PERIPHERAL_ASSOCIATE,PATTERN3_CONVERGENT,CASE_0004
NET_004,PERSON_0057,PERIPHERAL_ASSOCIATE,PATTERN3_CONVERGENT,CASE_0004
NET_004,PERSON_0977,INNOCENT_CONTACT,PATTERN3_CONVERGENT,CASE_0004
NET_004,PERSON_1443,INNOCENT_CONTACT,PATTERN3_CONVERGENT,CASE_0004
NET_004,PERSON_0677,OPERATIONAL_MEMBER,PATTERN3_CONVERGENT,CASE_0004
NET_004,PERSON_0029,OPERATIONAL_MEMBER,PATTERN3_CONVERGENT,CASE_0004
NET_004,PERSON_0962,OPERATIONAL_MEMBER,PATTERN3_CONVERGENT,CASE_0004
NET_004,PERSON_0998,OPERATIONAL_MEMBER,PATTERN3_CONVERGENT,CASE_0004
NET_004,PERSON_0194,OPERATIONAL_MEMBER,PATTERN3_CONVERGENT,CASE_0004
NET_005,PERSON_1008,UPSTREAM_COORDINATOR,PATTERN4_BRANCH,CASE_0005
