relationship_id,source_entity_id,target_entity_id,relationship_type,ground_truth_status
REL_000001,PERSON_0004,PERSON_1191,ASSOCIATED_WITH,FALSE_POSITIVE
REL_000002,PERSON_0010,PERSON_1214,ASSOCIATED_WITH,FALSE_POSITIVE
REL_000003,PERSON_0026,PERSON_0397,POTENTIAL_OPERATIONAL_LINK,CONFIRMED
REL_000004,PERSON_1476,PERSON_0026,POTENTIAL_OPERATIONAL_LINK,CONFIRMED
REL_000005,PERSON_0027,PERSON_0248,ASSOCIATED_WITH,FALSE_POSITIVE
REL_000006,PERSON_0030,PERSON_0180,POTENTIAL_OPERATIONAL_LINK,CONFIRMED
REL_000007,PERSON_0037,PERSON_1449,POTENTIAL_OPERATIONAL_LINK,CONFIRMED
REL_000008,PERSON_0037,PERSON_1499,POTENTIAL_OPERATIONAL_LINK,CONFIRMED
REL_000009,PERSON_0055,PERSON_0867,ASSOCIATED_WITH,FALSE_POSITIVE
REL_000010,PERSON_0077,PERSON_1318,ASSOCIATED_WITH,FALSE_POSITIVE
REL_000011,PERSON_0096,PERSON_0950,POTENTIAL_OPERATIONAL_LINK,CONFIRMED
REL_000012,PERSON_0098,PERSON_0177,ASSOCIATED_WITH,INNOCENT
REL_000013,PERSON_0104,PERSON_1433,POTENTIAL_OPERATIONAL_LINK,CONFIRMED
REL_000014,PERSON_0105,PERSON_1002,POTENTIAL_OPERATIONAL_LINK,CONFIRMED
REL_000015,PERSON_0105,PERSON_1008,POTENTIAL_OPERATIONAL_LINK,CONFIRMED
REL_000016,PERSON_0138,PERSON_0871,ASSOCIATED_WITH,FALSE_POSITIVE
REL_000017,PERSON_0173,PERSON_0369,ASSOCIATED_WITH,FALSE_POSITIVE
REL_000018,PERSON_0180,PERSON_0551,POTENTIAL_OPERATIONAL_LINK,CONFIRMED
REL_000019,PERSON_0216,PERSON_1329,ASSOCIATED_WITH,FALSE_POSITIVE
REL_000020,PERSON_0217,PERSON_1217,ASSOCIATED_WITH,FALSE_POSITIVE
REL_000021,PERSON_0225,PERSON_0806,ASSOCIATED_WITH,INNOCENT
REL_000022,PERSON_0243,PERSON_0559,ASSOCIATED_WITH,INNOCENT
REL_000023,PERSON_0256,PERSON_1046,POTENTIAL_OPERATIONAL_LINK,CONFIRMED
REL_000024,PERSON_0256,PERSON_1376,POTENTIAL_OPERATIONAL_LINK,CONFIRMED
REL_000025,PERSON_0261,PERSON_0534,ASSOCIATED_WITH,FALSE_POSITIVE
REL_000026,PERSON_0265,PERSON_0730,ASSOCIATED_WITH,FALSE_POSITIVE
REL_000027,PERSON_0266,PERSON_1170,POTENTIAL_OPERATIONAL_LINK,CONFIRMED
REL_000028,PERSON_0294,PERSON_0440,ASSOCIATED_WITH,FALSE_POSITIVE
REL_000029,PERSON_0339,PERSON_1432,ASSOCIATED_WITH,FALSE_POSITIVE
REL_000030,PERSON_0367,PERSON_0413,ASSOCIATED_WITH,FALSE_POSITIVE
REL_000031,PERSON_0371,PERSON_0611,ASSOCIATED_WITH,INNOCENT
REL_000032,PERSON_0373,PERSON_0411,ASSOCIATED_WITH,INNOCENT
REL_000033,PERSON_0397,PERSON_0405,POTENTIAL_OPERATIONAL_LINK,CONFIRMED
REL_000034,PERSON_0398,PERSON_0736,POTENTIAL_OPERATIONAL_LINK,CONFIRMED
REL_000035,PERSON_0403,PERSON_0743,ASSOCIATED_WITH,FALSE_POSITIVE
REL_000036,PERSON_0405,PERSON_1459,POTENTIAL_OPERATIONAL_LINK,CONFIRMED
REL_000037,PERSON_0417,PERSON_1447,ASSOCIATED_WITH,INNOCENT
REL_000038,PERSON_0423,PERSON_0784,POTENTIAL_OPERATIONAL_LINK,CONFIRMED
REL_000039,PERSON_0445,PERSON_0673,ASSOCIATED_WITH,INNOCENT
REL_000040,PERSON_0452,PERSON_1131,ASSOCIATED_WITH,FALSE_POSITIVE
REL_000041,PERSON_0478,PERSON_1369,ASSOCIATED_WITH,FALSE_POSITIVE
REL_000042,PERSON_0486,PERSON_1343,POTENTIAL_OPERATIONAL_LINK,CONFIRMED
REL_000043,PERSON_0509,PERSON_1184,ASSOCIATED_WITH,FALSE_POSITIVE
REL_000044,PERSON_0522,PERSON_1026,ASSOCIATED_WITH,INNOCENT
REL_000045,PERSON_0527,PERSON_1163,ASSOCIATED_WITH,FALSE_POSITIVE
REL_000046,PERSON_0539,PERSON_1358,ASSOCIATED_WITH,FALSE_POSITIVE
REL_000047,PERSON_0551,PERSON_1433,POTENTIAL_OPERATIONAL_LINK,CONFIRMED
REL_000048,PERSON_0560,PERSON_1441,ASSOCIATED_WITH,INNOCENT
REL_000049,PERSON_0565,PERSON_1272,ASSOCIATED_WITH,FALSE_POSITIVE
REL_000050,PERSON_0570,PERSON_1132,ASSOCIATED_WITH,INNOCENT
REL_000051,PERSON_0580,PERSON_0784,POTENTIAL_OPERATIONAL_LINK,CONFIRMED
REL_000052,PERSON_0580,PERSON_0903,POTENTIAL_OPERATIONAL_LINK,CONFIRMED
REL_000053,PERSON_0582,PERSON_1241,ASSOCIATED_WITH,FALSE_POSITIVE
REL_000054,PERSON_0603,PERSON_1385,ASSOCIATED_WITH,FALSE_POSITIVE
REL_000055,PERSON_0639,PERSON_0671,POTENTIAL_OPERATIONAL_LINK,CONFIRMED
REL_000056,PERSON_0639,PERSON_1203,POTENTIAL_OPERATIONAL_LINK,CONFIRMED
REL_000057,PERSON_0669,PERSON_0789,ASSOCIATED_WITH,INNOCENT
REL_000058,PERSON_0710,PERSON_1322,ASSOCIATED_WITH,FALSE_POSITIVE
REL_000059,PERSON_0720,PERSON_0950,POTENTIAL_OPERATIONAL_LINK,CONFIRMED
REL_000060,PERSON_0720,PERSON_1060,POTENTIAL_OPERATIONAL_LINK,CONFIRMED
REL_000061,PERSON_0725,PERSON_0903,POTENTIAL_OPERATIONAL_LINK,CONFIRMED
