network_id,person_id,role
NET_001,PERSON_1476,UPSTREAM_COORDINATOR
NET_001,PERSON_0026,BROKER
NET_001,PERSON_0397,BROKER
NET_001,PERSON_0405,OPERATIONAL_MEMBER
NET_001,PERSON_1459,OPERATIONAL_MEMBER
NET_001,PERSON_0721,FINANCIAL_FACILITATOR
NET_001,PERSON_0553,HIGH_DEGREE_INNOCENT
NET_001,PERSON_0547,RECRUITER
NET_001,PERSON_1428,PERIPHERAL_ASSOCIATE
NET_001,PERSON_0994,PERIPHERAL_ASSOCIATE
NET_001,PERSON_1221,INNOCENT_CONTACT
NET_001,PERSON_0796,INNOCENT_CONTACT
NET_001,PERSON_1248,PERIPHERAL_ASSOCIATE
NET_001,PERSON_1213,PERIPHERAL_ASSOCIATE
NET_001,PERSON_0167,PERIPHERAL_ASSOCIATE
NET_002,PERSON_1104,UPSTREAM_COORDINATOR
NET_002,PERSON_1226,BROKER
NET_002,PERSON_0969,BROKER
NET_002,PERSON_0809,OPERATIONAL_MEMBER
NET_002,PERSON_0463,FINANCIAL_FACILITATOR
NET_002,PERSON_0993,PERIPHERAL_ASSOCIATE
NET_002,PERSON_0758,PERIPHERAL_ASSOCIATE
NET_002,PERSON_0829,PERIPHERAL_ASSOCIATE
NET_002,PERSON_1223,INNOCENT_CONTACT
NET_002,PERSON_0360,INNOCENT_CONTACT
NET_002,PERSON_0971,OPERATIONAL_MEMBER
NET_002,PERSON_0427,OPERATIONAL_MEMBER
NET_002,PERSON_0107,OPERATIONAL_MEMBER
NET_002,PERSON_0332,OPERATIONAL_MEMBER
NET_002,PERSON_1469,OPERATIONAL_MEMBER
NET_003,PERSON_0486,UPSTREAM_COORDINATOR
NET_003,PERSON_1343,PERIPHERAL_ASSOCIATE
NET_003,PERSON_0833,BROKER
NET_003,PERSON_1232,OPERATIONAL_MEMBER
NET_003,PERSON_0851,FINANCIAL_FACILITATOR
NET_003,PERSON_1337,PERIPHERAL_ASSOCIATE
NET_003,PERSON_0163,PERIPHERAL_ASSOCIATE
NET_003,PERSON_1031,PERIPHERAL_ASSOCIATE
NET_003,PERSON_0321,INNOCENT_CONTACT
NET_003,PERSON_1349,INNOCENT_CONTACT
NET_003,PERSON_0754,OPERATIONAL_MEMBER
NET_003,PERSON_0818,OPERATIONAL_MEMBER
NET_003,PERSON_0147,OPERATIONAL_MEMBER
NET_003,PERSON_0211,OPERATIONAL_MEMBER
NET_003,PERSON_0705,OPERATIONAL_MEMBER
NET_004,PERSON_1060,UPSTREAM_COORDINATOR
NET_004,PERSON_0720,BROKER
NET_004,PERSON_0950,BROKER
NET_004,PERSON_0096,OPERATIONAL_MEMBER
NET_004,PERSON_0606,FINANCIAL_FACILITATOR
NET_004,PERSON_0831,PERIPHERAL_ASSOCIATE
NET_004,PERSON_0909,PERIPHERAL_ASSOCIATE
NET_004,PERSON_0057,PERIPHERAL_ASSOCIATE
NET_004,PERSON_0977,INNOCENT_CONTACT
NET_004,PERSON_1443,INNOCENT_CONTACT
NET_004,PERSON_0677,OPERATIONAL_MEMBER
NET_004,PERSON_0029,OPERATIONAL_MEMBER
NET_004,PERSON_0962,OPERATIONAL_MEMBER
NET_004,PERSON_0998,OPERATIONAL_MEMBER
NET_004,PERSON_0194,OPERATIONAL_MEMBER
NET_005,PERSON_1008,UPSTREAM_COORDINATOR
NET_005,PERSON_0105,PERIPHERAL_ASSOCIATE
NET_005,PERSON_1002,BROKER
NET_005,PERSON_1269,OPERATIONAL_MEMBER
NET_005,PERSON_0807,FINANCIAL_FACILITATOR
NET_005,PERSON_0959,PERIPHERAL_ASSOCIATE
NET_005,PERSON_1363,PERIPHERAL_ASSOCIATE
NET_005,PERSON_1405,PERIPHERAL_ASSOCIATE
NET_005,PERSON_1044,INNOCENT_CONTACT
NET_005,PERSON_1092,INNOCENT_CONTACT
NET_005,PERSON_0748,OPERATIONAL_MEMBER
NET_005,PERSON_1103,OPERATIONAL_MEMBER
NET_005,PERSON_0650,OPERATIONAL_MEMBER
NET_005,PERSON_1468,OPERATIONAL_MEMBER
NET_005,PERSON_0591,OPERATIONAL_MEMBER
NET_006,PERSON_1190,UPSTREAM_COORDINATOR
NET_006,PERSON_1170,BROKER
NET_006,PERSON_0266,OPERATIONAL_MEMBER
NET_006,PERSON_0660,FINANCIAL_FACILITATOR
NET_006,PERSON_1352,HIGH_DEGREE_INNOCENT
NET_006,PERSON_0219,PERIPHERAL_ASSOCIATE
NET_006,PERSON_1286,PERIPHERAL_ASSOCIATE
NET_006,PERSON_0854,PERIPHERAL_ASSOCIATE
NET_006,PERSON_1188,INNOCENT_CONTACT
NET_006,PERSON_1282,INNOCENT_CONTACT
NET_006,PERSON_1066,PERIPHERAL_ASSOCIATE
NET_006,PERSON_1056,PERIPHERAL_ASSOCIATE
NET_006,PERSON_1186,PERIPHERAL_ASSOCIATE
NET_006,PERSON_0790,PERIPHERAL_ASSOCIATE
