pattern_id,network_id,case_id,pattern_type,is_criminal
SUSP_NET_001,NET_001,CASE_0001,layered_financial_trail_plus_temporal_call_chain,True
SUSP_NET_002,NET_002,CASE_0002,layered_financial_trail_plus_temporal_call_chain,True
SUSP_NET_003,NET_003,CASE_0003,layered_financial_trail_plus_temporal_call_chain,True
SUSP_NET_004,NET_004,CASE_0004,layered_financial_trail_plus_temporal_call_chain,True
SUSP_NET_005,NET_005,CASE_0005,layered_financial_trail_plus_temporal_call_chain,True
SUSP_NET_006,NET_006,CASE_0006,layered_financial_trail_plus_temporal_call_chain,True
SUSP_NET_007,NET_007,CASE_0007,layered_financial_trail_plus_temporal_call_chain,True
SUSP_NET_008,NET_008,CASE_0008,layered_financial_trail_plus_temporal_call_chain,True
SUSP_NET_009,NET_009,CASE_0009,layered_financial_trail_plus_temporal_call_chain,True
SUSP_NET_010,NET_010,CASE_0010,layered_financial_trail_plus_temporal_call_chain,True
SUSP_NET_011,NET_011,CASE_0011,layered_financial_trail_plus_temporal_call_chain,True
SUSP_NET_012,NET_012,CASE_0012,layered_financial_trail_plus_temporal_call_chain,True
SUSP_FP_001,,,dense_contact_business_partner,False
SUSP_FP_002,,,dense_contact_delivery_worker_customer,False
SUSP_FP_003,,,dense_contact_delivery_worker_customer,False
SUSP_FP_004,,,dense_contact_legitimate_business_relationship,False
SUSP_FP_005,,,dense_contact_family_member,False
SUSP_FP_006,,,dense_contact_delivery_worker_customer,False
SUSP_FP_007,,,dense_contact_business_partner,False
SUSP_FP_008,,,dense_contact_business_partner,False
SUSP_FP_009,,,dense_contact_taxi_driver_customer,False
SUSP_FP_010,,,dense_contact_neighbor,False
SUSP_FP_011,,,dense_contact_neighbor,False
SUSP_FP_012,,,dense_contact_family_member,False
SUSP_FP_013,,,dense_contact_business_partner,False
SUSP_FP_014,,,dense_contact_business_partner,False
SUSP_FP_015,,,dense_contact_coworker,False
SUSP_FP_016,,,dense_contact_coworker,False
SUSP_FP_017,,,dense_contact_taxi_driver_customer,False
SUSP_FP_018,,,dense_contact_business_partner,False
SUSP_FP_019,,,dense_contact_taxi_driver_customer,False
SUSP_FP_020,,,dense_contact_business_partner,False
SUSP_FP_021,,,dense_contact_delivery_worker_customer,False
SUSP_FP_022,,,dense_contact_neighbor,False
SUSP_FP_023,,,dense_contact_family_member,False
SUSP_FP_024,,,dense_contact_business_partner,False
SUSP_FP_025,,,dense_contact_legitimate_business_relationship,False
SUSP_FP_026,,,dense_contact_family_member,False
SUSP_FP_027,,,dense_contact_family_member,False
SUSP_FP_028,,,dense_contact_coworker,False
SUSP_FP_029,,,dense_contact_coworker,False
SUSP_FP_030,,,dense_contact_taxi_driver_customer,False
SUSP_FP_031,,,dense_contact_coworker,False
SUSP_FP_032,,,dense_contact_coworker,False
SUSP_FP_033,,,dense_contact_taxi_driver_customer,False
SUSP_FP_034,,,dense_contact_delivery_worker_customer,False
SUSP_FP_035,,,dense_contact_legitimate_business_relationship,False
SUSP_FP_036,,,dense_contact_family_member,False
SUSP_FP_037,,,dense_contact_neighbor,False
SUSP_FP_038,,,dense_contact_business_partner,False
SUSP_FP_039,,,dense_contact_family_member,False
SUSP_FP_040,,,dense_contact_legitimate_business_relationship,False
SUSP_FP_041,,,dense_contact_coworker,False
SUSP_FP_042,,,dense_contact_legitimate_business_relationship,False
SUSP_FP_043,,,dense_contact_family_member,False
SUSP_FP_044,,,dense_contact_delivery_worker_customer,False
SUSP_FP_045,,,dense_contact_coworker,False
