file,column,dtype
persons.csv,person_id,str
persons.csv,name,str
persons.csv,name_variant,str
persons.csv,age,int64
persons.csv,gender,str
persons.csv,city,str
persons.csv,occupation,str
persons.csv,address_id,str
persons.csv,primary_phone_id,str
persons.csv,risk_indicator,str
persons.csv,source_record_count,int64
organizations.csv,organization_id,str
organizations.csv,organization_name,str
organizations.csv,organization_type,str
organizations.csv,city,str
organizations.csv,known_activity,str
organizations.csv,source_record_id,str
organizations.csv,confidence,float64
phones.csv,phone_id,str
phones.csv,person_id,str
phones.csv,device_id,str
phones.csv,activation_date,str
phones.csv,deactivation_date,str
phones.csv,ownership_confidence,float64
phones.csv,source,str
devices.csv,device_id,str
devices.csv,device_type,str
devices.csv,first_seen,str
devices.csv,source,str
bank_accounts.csv,account_id,str
bank_accounts.csv,person_id,str
bank_accounts.csv,account_type,str
bank_accounts.csv,bank_alias,str
bank_accounts.csv,opening_date,str
bank_accounts.csv,branch_location_id,str
bank_accounts.csv,ownership_confidence,float64
financial_transactions.csv,transaction_id,str
financial_transactions.csv,timestamp,str
financial_transactions.csv,sender_account_id,str
financial_transactions.csv,receiver_account_id,str
financial_transactions.csv,amount,float64
financial_transactions.csv,transaction_type,str
financial_transactions.csv,channel,str
financial_transactions.csv,location_id,str
financial_transactions.csv,reference,str
financial_transactions.csv,case_id,str
financial_transactions.csv,confidence,float64
vehicles.csv,vehicle_id,str
vehicles.csv,owner_person_id,str
vehicles.csv,vehicle_type,str
vehicles.csv,model,str
vehicles.csv,registration_alias,str
vehicles.csv,ownership_start,str
vehicles.csv,ownership_end,object
vehicles.csv,confidence,float64
vehicle_events.csv,event_id,str
vehicle_events.csv,timestamp,str
vehicle_events.csv,vehicle_id,str
vehicle_events.csv,location_id,str
vehicle_events.csv,event_type,str
vehicle_events.csv,source,str
vehicle_events.csv,confidence,float64
locations.csv,location_id,str
locations.csv,city,str
locations.csv,area_alias,str
locations.csv,latitude,float64
locations.csv,longitude,float64
locations.csv,location_type,str
cell_towers.csv,tower_id,str
cell_towers.csv,location_id,str
cell_towers.csv,latitude,float64
cell_towers.csv,longitude,float64
cell_towers.csv,coverage_radius,float64
cell_towers.csv,city,str
location_events.csv,location_event_id,str
location_events.csv,timestamp,str
location_events.csv,entity_type,str
location_events.csv,entity_id,str
location_events.csv,tower_id,str
location_events.csv,location_id,str
location_events.csv,source,str
location_events.csv,accuracy,float64
location_events.csv,confidence,float64
cdr_records.csv,call_id,str
cdr_records.csv,timestamp,str
cdr_records.csv,caller_phone_id,str
cdr_records.csv,receiver_phone_id,str
cdr_records.csv,duration_seconds,int64
cdr_records.csv,call_type,str
cdr_records.csv,caller_tower_id,str
cdr_records.csv,receiver_tower_id,str
cdr_records.csv,source,str
cdr_records.csv,confidence,float64
fir_records.csv,fir_id,str
fir_records.csv,case_id,str
fir_records.csv,date,str
fir_records.csv,crime_type,str
fir_records.csv,complainant_id,str
fir_records.csv,accused_id,str
fir_records.csv,witness_id,str
fir_records.csv,location_id,str
fir_records.csv,narrative,str
fir_records.csv,source,str
fir_records.csv,confidence,float64
surveillance_reports.csv,report_id,str
surveillance_reports.csv,case_id,str
surveillance_reports.csv,timestamp,str
surveillance_reports.csv,location_id,str
surveillance_reports.csv,person_reference,str
surveillance_reports.csv,vehicle_reference,str
surveillance_reports.csv,observation,str
surveillance_reports.csv,source,str
surveillance_reports.csv,confidence,float64
social_media_records.csv,social_record_id,str
social_media_records.csv,person_id,str
social_media_records.csv,platform_alias,str
social_media_records.csv,username_alias,str
social_media_records.csv,timestamp,str
social_media_records.csv,content,str
social_media_records.csv,mentioned_entity,str
social_media_records.csv,location_id,str
social_media_records.csv,confidence,float64
social_media_records.csv,source,str
criminal_history.csv,history_id,str
criminal_history.csv,person_id,str
criminal_history.csv,case_id,str
criminal_history.csv,crime_type,str
criminal_history.csv,date,str
criminal_history.csv,role,str
criminal_history.csv,status,str
criminal_history.csv,source,str
criminal_history.csv,confidence,float64
intelligence_reports.csv,report_id,str
intelligence_reports.csv,case_id,str
intelligence_reports.csv,timestamp,str
intelligence_reports.csv,subject_person_id,str
intelligence_reports.csv,subject_organization_id,str
intelligence_reports.csv,observation,str
intelligence_reports.csv,source,str
intelligence_reports.csv,reliability,str
intelligence_reports.csv,confidence,float64
relationships.csv,relationship_id,str
relationships.csv,source_entity_id,str
relationships.csv,source_entity_type,str
relationships.csv,target_entity_id,str
relationships.csv,target_entity_type,str
relationships.csv,relationship_type,str
relationships.csv,first_seen,str
relationships.csv,last_seen,str
relationships.csv,frequency,int64
relationships.csv,confidence,float64
relationships.csv,source_record_id,str
relationships.csv,evidence_count,int64
relationships.csv,ground_truth_status,str
evidence.csv,evidence_id,str
evidence.csv,case_id,str
evidence.csv,evidence_type,str
evidence.csv,source_record_id,str
evidence.csv,entity_id,str
evidence.csv,related_entity_id,str
evidence.csv,timestamp,str
evidence.csv,description,str
evidence.csv,reliability,float64
evidence.csv,confidence,float64
evidence.csv,supports_relationship,str
evidence.csv,ground_truth_status,str
cases.csv,case_id,str
cases.csv,fir_id,str
cases.csv,crime_type,str
cases.csv,city,str
cases.csv,status,str
cases.csv,opened_date,str
graph_edges.csv,source_id,str
graph_edges.csv,source_type,str
graph_edges.csv,target_id,str
graph_edges.csv,target_type,str
graph_edges.csv,edge_type,str
graph_edges.csv,timestamp,str
graph_edges.csv,weight,float64
graph_edges.csv,confidence,float64
graph_edges.csv,source_record_id,str
ground_truth_entity_resolution.csv,record_id,str
ground_truth_entity_resolution.csv,candidate_person_id,str
ground_truth_entity_resolution.csv,true_person_id,str
ground_truth_entity_resolution.csv,match_label,str
ground_truth_entity_resolution.csv,confidence,float64
ground_truth_relationships.csv,relationship_id,str
ground_truth_relationships.csv,source_entity_id,str
ground_truth_relationships.csv,target_entity_id,str
ground_truth_relationships.csv,relationship_type,str
ground_truth_relationships.csv,ground_truth_status,str
ground_truth_networks.csv,network_id,str
ground_truth_networks.csv,person_id,str
ground_truth_networks.csv,role,str
ground_truth_networks.csv,pattern,str
ground_truth_networks.csv,case_id,str
ground_truth_roles.csv,network_id,str
ground_truth_roles.csv,person_id,str
ground_truth_roles.csv,role,str
ground_truth_influencers.csv,network_id,str
ground_truth_influencers.csv,person_id,str
ground_truth_influencers.csv,influence_type,str
ground_truth_influencers.csv,is_criminally_significant,bool
ground_truth_orchestrators.csv,case_id,str
ground_truth_orchestrators.csv,network_id,str
ground_truth_orchestrators.csv,person_id,str
ground_truth_orchestrators.csv,role,str
ground_truth_orchestrators.csv,orchestration_confidence,float64
ground_truth_orchestrators.csv,reason_code,str
ground_truth_case_links.csv,link_id,str
ground_truth_case_links.csv,case_ids,str
ground_truth_case_links.csv,shared_entity_type,str
ground_truth_case_links.csv,shared_entity_id,str
ground_truth_suspicious_patterns.csv,pattern_id,str
ground_truth_suspicious_patterns.csv,network_id,str
ground_truth_suspicious_patterns.csv,case_id,str
ground_truth_suspicious_patterns.csv,pattern_type,str
ground_truth_suspicious_patterns.csv,is_criminal,bool
ground_truth_co_travel.csv,co_travel_id,str
ground_truth_co_travel.csv,person_id_1,str
ground_truth_co_travel.csv,person_id_2,str
ground_truth_co_travel.csv,vehicle_id_1,str
