call_id,timestamp,caller_phone_id,receiver_phone_id,duration_seconds,call_type,caller_tower_id,receiver_tower_id,source,confidence
CALL_000001,2025-08-29 17:30:50,PHONE_01476,PHONE_00026,142,outgoing,TOWER_0008,TOWER_0005,TELCO_C,0.89
CALL_000002,2025-08-29 17:45:50,PHONE_00026,PHONE_00397,80,outgoing,TOWER_0145,TOWER_0005,TELCO_C,0.94
CALL_000003,2025-08-29 17:55:50,PHONE_00397,PHONE_00405,219,outgoing,TOWER_0075,TOWER_0022,TELCO_B,0.91
CALL_000004,2025-08-29 18:08:50,PHONE_00405,PHONE_01459,128,outgoing,TOWER_0032,TOWER_0085,TELCO_A,0.94
CALL_000005,2025-08-29 20:35:50,PHONE_01459,PHONE_00405,98,outgoing,TOWER_0005,TOWER_0142,TELCO_C,0.97
CALL_000006,2025-08-29 21:00:50,PHONE_00405,PHONE_00397,53,outgoing,TOWER_0032,TOWER_0045,TELCO_B,0.9
CALL_000007,2025-08-29 21:20:50,PHONE_00397,PHONE_00026,113,outgoing,TOWER_0125,TOWER_0145,TELCO_B,0.89
CALL_000008,2025-08-29 21:36:50,PHONE_00026,PHONE_01476,71,outgoing,TOWER_0055,TOWER_0088,TELCO_B,0.98
CALL_000009,2025-08-21 07:24:50,PHONE_01459,PHONE_00397,145,missed,TOWER_0105,TOWER_0025,TELCO_A,0.95
CALL_000010,2025-07-27 03:24:50,PHONE_00405,PHONE_00026,232,missed,TOWER_0102,TOWER_0045,TELCO_C,0.92
CALL_000011,2025-07-27 22:24:50,PHONE_00397,PHONE_01459,109,outgoing,TOWER_0035,TOWER_0095,TELCO_B,0.94
CALL_000012,2025-07-31 00:24:50,PHONE_00405,PHONE_00026,219,incoming,TOWER_0082,TOWER_0125,TELCO_B,0.94
CALL_000013,2025-08-09 18:24:50,PHONE_01459,PHONE_00397,109,outgoing,TOWER_0095,TOWER_0005,TELCO_C,0.89
CALL_000014,2025-07-19 18:24:50,PHONE_01476,PHONE_00397,55,outgoing,TOWER_0048,TOWER_0075,TELCO_C,0.99
CALL_000015,2025-07-29 07:24:50,PHONE_01476,PHONE_00405,198,missed,TOWER_0068,TOWER_0052,TELCO_B,0.89
CALL_000016,2025-08-11 08:24:50,PHONE_01476,PHONE_00026,294,incoming,TOWER_0028,TOWER_0115,TELCO_A,0.87
CALL_000017,2025-08-01 19:24:50,PHONE_00026,PHONE_00405,171,missed,TOWER_0135,TOWER_0042,TELCO_C,0.93
CALL_000018,2025-07-30 23:47:23,PHONE_01104,PHONE_01226,58,outgoing,TOWER_0140,TOWER_0060,TELCO_A,0.9
CALL_000019,2025-07-30 23:58:23,PHONE_01226,PHONE_00969,59,outgoing,TOWER_0080,TOWER_0138,TELCO_B,0.86
CALL_000020,2025-07-31 00:06:23,PHONE_00969,PHONE_00809,75,outgoing,TOWER_0048,TOWER_0009,TELCO_B,0.91
CALL_000021,2025-07-31 02:35:23,PHONE_00809,PHONE_00969,85,outgoing,TOWER_0069,TOWER_0088,TELCO_C,0.85
CALL_000022,2025-07-31 02:44:23,PHONE_00969,PHONE_01226,131,outgoing,TOWER_0008,TOWER_0010,TELCO_C,0.87
CALL_000023,2025-07-31 02:57:23,PHONE_01226,PHONE_01104,106,outgoing,TOWER_0070,TOWER_0070,TELCO_A,0.86
