tower_id,location_id,latitude,longitude,coverage_radius,city
TOWER_0001,LOCATION_0041,28.5104,77.12199,2.17,Delhi
TOWER_0002,LOCATION_0142,27.0318,75.84962,3.88,Jaipur
TOWER_0003,LOCATION_0003,26.75664,80.81222,2.69,Lucknow
TOWER_0004,LOCATION_0164,30.87561,76.87353,1.61,Chandigarh
TOWER_0005,LOCATION_0115,23.06121,72.61318,1.88,Ahmedabad
TOWER_0006,LOCATION_0036,19.12636,72.99122,3.78,Mumbai
TOWER_0007,LOCATION_0127,18.56246,73.91112,2.41,Pune
TOWER_0008,LOCATION_0278,22.72034,75.74557,3.33,Indore
TOWER_0009,LOCATION_0009,23.13089,77.54672,2.77,Bhopal
TOWER_0010,LOCATION_0110,17.3984,78.35367,2.48,Hyderabad
TOWER_0011,LOCATION_0161,28.63706,77.19142,4.02,Delhi
TOWER_0012,LOCATION_0212,26.96436,75.73033,3.7,Jaipur
TOWER_0013,LOCATION_0283,26.8606,80.97479,1.53,Lucknow
TOWER_0014,LOCATION_0054,30.61925,76.82596,1.98,Chandigarh
TOWER_0015,LOCATION_0205,23.04375,72.61904,0.95,Ahmedabad
TOWER_0016,LOCATION_0196,19.18718,72.81665,3.94,Mumbai
TOWER_0017,LOCATION_0197,18.37577,73.89554,1.4,Pune
TOWER_0018,LOCATION_0268,22.8586,75.90951,1.81,Indore
TOWER_0019,LOCATION_0249,23.30192,77.43021,3.31,Bhopal
TOWER_0020,LOCATION_0090,17.5236,78.55995,1.13,Hyderabad
TOWER_0021,LOCATION_0011,28.47625,77.16916,1.1,Delhi
TOWER_0022,LOCATION_0282,26.77265,75.81085,4.43,Jaipur
TOWER_0023,LOCATION_0253,26.74258,81.07463,2.54,Lucknow
TOWER_0024,LOCATION_0094,30.69106,76.72204,2.92,Chandigarh
TOWER_0025,LOCATION_0205,23.05711,72.63282,1.34,Ahmedabad
TOWER_0026,LOCATION_0186,19.14799,73.00163,4.05,Mumbai
TOWER_0027,LOCATION_0167,18.64163,73.89537,2.63,Pune
TOWER_0028,LOCATION_0158,22.60402,75.70956,3.93,Indore
TOWER_0029,LOCATION_0299,23.30206,77.39234,1.1,Bhopal
TOWER_0030,LOCATION_0220,17.43475,78.34645,1.4,Hyderabad
TOWER_0031,LOCATION_0151,28.63729,77.29796,1.33,Delhi
TOWER_0032,LOCATION_0222,27.01511,75.76489,1.99,Jaipur
TOWER_0033,LOCATION_0263,26.98522,81.0275,2.54,Lucknow
TOWER_0034,LOCATION_0134,30.78382,76.66366,2.47,Chandigarh
TOWER_0035,LOCATION_0205,23.04973,72.62895,4.2,Ahmedabad
TOWER_0036,LOCATION_0016,19.11664,72.77468,1.3,Mumbai
TOWER_0037,LOCATION_0287,18.65445,73.94422,2.24,Pune
TOWER_0038,LOCATION_0188,22.68089,75.98965,3.61,Indore
TOWER_0039,LOCATION_0219,23.2118,77.41976,1.34,Bhopal
TOWER_0040,LOCATION_0300,17.47017,78.4641,2.0,Hyderabad
TOWER_0041,LOCATION_0201,28.72696,77.13048,1.48,Delhi
TOWER_0042,LOCATION_0142,27.01493,75.85506,4.3,Jaipur
TOWER_0043,LOCATION_0173,26.90716,80.84974,3.74,Lucknow
TOWER_0044,LOCATION_0154,30.76137,76.64063,2.09,Chandigarh
TOWER_0045,LOCATION_0065,23.1481,72.69222,1.04,Ahmedabad
TOWER_0046,LOCATION_0166,18.96821,72.8314,1.84,Mumbai
TOWER_0047,LOCATION_0007,18.62622,73.97575,3.56,Pune
TOWER_0048,LOCATION_0218,22.8013,75.91818,1.02,Indore
TOWER_0049,LOCATION_0249,23.30137,77.42076,1.74,Bhopal
TOWER_0050,LOCATION_0290,17.48031,78.45423,1.44,Hyderabad
TOWER_0051,LOCATION_0231,28.74814,77.07264,1.07,Delhi
TOWER_0052,LOCATION_0012,26.98974,75.93332,3.17,Jaipur
TOWER_0053,LOCATION_0053,26.73345,80.94355,3.22,Lucknow
TOWER_0054,LOCATION_0174,30.61868,76.81732,0.91,Chandigarh
TOWER_0055,LOCATION_0225,23.08597,72.4803,3.51,Ahmedabad
TOWER_0056,LOCATION_0006,19.02435,72.87019,2.06,Mumbai
TOWER_0057,LOCATION_0107,18.40718,73.89878,0.88,Pune
TOWER_0058,LOCATION_0228,22.77727,75.76773,2.24,Indore
TOWER_0059,LOCATION_0299,23.31335,77.38933,3.02,Bhopal
TOWER_0060,LOCATION_0300,17.48412,78.48269,1.18,Hyderabad
TOWER_0061,LOCATION_0001,28.76362,77.25663,3.66,Delhi
