history_id,person_id,case_id,crime_type,date,role,status,source,confidence
HIST_00001,PERSON_1204,CASE_0048,illegal betting,2024-08-30 01:51:35,convicted,chargesheet_filed,CRIMINAL_RECORDS_DATABASE,0.81
HIST_00002,PERSON_1363,CASE_0246,cyber fraud,2025-09-07 23:51:39,witness,acquitted,CRIMINAL_RECORDS_DATABASE,0.79
HIST_00003,PERSON_1363,CASE_0153,forgery,2025-09-25 10:56:03,witness,chargesheet_filed,CRIMINAL_RECORDS_DATABASE,0.61
HIST_00004,PERSON_1213,CASE_0298,financial fraud,2022-09-05 09:43:41,acquitted,acquitted,CRIMINAL_RECORDS_DATABASE,0.77
HIST_00005,PERSON_0147,CASE_0215,organized financial crime,2022-05-04 06:17:12,witness,chargesheet_filed,CRIMINAL_RECORDS_DATABASE,0.61
HIST_00006,PERSON_0938,CASE_0030,organized theft,2023-11-08 17:01:39,accused,ongoing_investigation,CRIMINAL_RECORDS_DATABASE,0.75
HIST_00007,PERSON_0938,CASE_0175,vehicle theft,2025-08-10 03:42:04,acquitted,chargesheet_filed,CRIMINAL_RECORDS_DATABASE,0.71
HIST_00008,PERSON_0829,CASE_0236,organized financial crime,2024-09-18 12:02:13,accused,acquitted,CRIMINAL_RECORDS_DATABASE,0.7
HIST_00009,PERSON_1171,CASE_0171,extortion,2023-02-05 21:22:36,acquitted,closed,CRIMINAL_RECORDS_DATABASE,0.73
HIST_00010,PERSON_1303,CASE_0205,extortion,2025-02-26 20:16:55,accused,chargesheet_filed,CRIMINAL_RECORDS_DATABASE,0.81
HIST_00011,PERSON_1303,CASE_0048,robbery,2024-06-15 01:21:20,witness,closed,CRIMINAL_RECORDS_DATABASE,0.68
HIST_00012,PERSON_1007,CASE_0035,robbery,2023-10-19 03:48:18,witness,closed,CRIMINAL_RECORDS_DATABASE,0.62
HIST_00013,PERSON_1007,CASE_0048,cyber fraud,2025-06-22 21:58:05,convicted,ongoing_investigation,CRIMINAL_RECORDS_DATABASE,0.73
HIST_00014,PERSON_0784,CASE_0169,organized financial crime,2025-12-14 13:45:06,accused,acquitted,CRIMINAL_RECORDS_DATABASE,0.72
HIST_00015,PERSON_0969,CASE_0007,cyber fraud,2025-04-03 04:53:33,witness,acquitted,CRIMINAL_RECORDS_DATABASE,0.78
HIST_00016,PERSON_1352,CASE_0272,extortion,2023-08-16 14:48:35,acquitted,acquitted,CRIMINAL_RECORDS_DATABASE,0.67
HIST_00017,PERSON_1352,CASE_0028,extortion,2022-05-17 16:23:12,acquitted,ongoing_investigation,CRIMINAL_RECORDS_DATABASE,0.79
HIST_00018,PERSON_1242,CASE_0165,cyber fraud,2023-12-22 09:04:44,witness,acquitted,CRIMINAL_RECORDS_DATABASE,0.66
HIST_00019,PERSON_1103,CASE_0040,robbery,2023-11-19 09:24:35,convicted,acquitted,CRIMINAL_RECORDS_DATABASE,0.95
HIST_00020,PERSON_1103,CASE_0103,cyber fraud,2024-03-12 12:34:56,accused,acquitted,CRIMINAL_RECORDS_DATABASE,0.84
HIST_00021,PERSON_1226,CASE_0077,forgery,2024-12-01 23:38:55,convicted,acquitted,CRIMINAL_RECORDS_DATABASE,0.92
HIST_00022,PERSON_1226,CASE_0145,organized financial crime,2025-06-13 02:00:31,witness,chargesheet_filed,CRIMINAL_RECORDS_DATABASE,0.69
HIST_00023,PERSON_0022,CASE_0237,robbery,2022-03-15 13:41:09,accused,acquitted,CRIMINAL_RECORDS_DATABASE,0.7
HIST_00024,PERSON_0022,CASE_0172,smuggling,2023-09-16 11:06:19,acquitted,ongoing_investigation,CRIMINAL_RECORDS_DATABASE,0.78
HIST_00025,PERSON_0639,CASE_0201,illegal betting,2024-04-24 20:24:30,witness,acquitted,CRIMINAL_RECORDS_DATABASE,0.81
HIST_00026,PERSON_1203,CASE_0131,vehicle theft,2021-12-12 04:08:11,accused,chargesheet_filed,CRIMINAL_RECORDS_DATABASE,0.82
HIST_00027,PERSON_0833,CASE_0295,organized financial crime,2022-09-07 21:39:08,witness,ongoing_investigation,CRIMINAL_RECORDS_DATABASE,0.77
HIST_00028,PERSON_1190,CASE_0191,extortion,2026-03-31 16:56:09,accused,closed,CRIMINAL_RECORDS_DATABASE,0.89
HIST_00029,PERSON_1190,CASE_0240,illegal betting,2025-07-03 08:36:25,convicted,acquitted,CRIMINAL_RECORDS_DATABASE,0.78
HIST_00030,PERSON_1170,CASE_0045,smuggling,2024-10-22 04:38:10,acquitted,acquitted,CRIMINAL_RECORDS_DATABASE,0.75
HIST_00031,PERSON_1170,CASE_0198,smuggling,2024-10-28 21:38:57,accused,closed,CRIMINAL_RECORDS_DATABASE,0.91
HIST_00032,PERSON_0725,CASE_0078,smuggling,2024-10-04 12:56:56,acquitted,ongoing_investigation,CRIMINAL_RECORDS_DATABASE,0.73
HIST_00033,PERSON_0748,CASE_0300,robbery,2023-08-24 18:49:02,convicted,chargesheet_filed,CRIMINAL_RECORDS_DATABASE,0.96
HIST_00034,PERSON_0405,CASE_0299,robbery,2024-09-04 00:58:43,witness,chargesheet_filed,CRIMINAL_RECORDS_DATABASE,0.91
HIST_00035,PERSON_1031,CASE_0050,robbery,2023-06-05 00:17:51,acquitted,ongoing_investigation,CRIMINAL_RECORDS_DATABASE,0.93
HIST_00036,PERSON_0032,CASE_0300,organized financial crime,2022-02-19 23:19:21,convicted,acquitted,CRIMINAL_RECORDS_DATABASE,0.82
HIST_00037,PERSON_0032,CASE_0167,vehicle theft,2025-04-16 14:27:34,accused,acquitted,CRIMINAL_RECORDS_DATABASE,0.65
HIST_00038,PERSON_1044,CASE_0037,cyber fraud,2023-07-19 18:17:12,convicted,ongoing_investigation,CRIMINAL_RECORDS_DATABASE,0.75
HIST_00039,PERSON_1248,CASE_0174,vehicle theft,2024-12-22 17:08:10,witness,closed,CRIMINAL_RECORDS_DATABASE,0.62
HIST_00040,PERSON_1002,CASE_0153,smuggling,2021-11-15 15:39:31,witness,chargesheet_filed,CRIMINAL_RECORDS_DATABASE,0.72
HIST_00041,PERSON_1002,CASE_0212,organized financial crime,2022-09-27 18:08:20,acquitted,acquitted,CRIMINAL_RECORDS_DATABASE,0.81
HIST_00042,PERSON_0554,CASE_0271,organized theft,2024-08-15 09:53:42,accused,acquitted,CRIMINAL_RECORDS_DATABASE,0.87
HIST_00043,PERSON_0788,CASE_0162,forgery,2025-03-22 20:36:44,accused,closed,CRIMINAL_RECORDS_DATABASE,0.87
HIST_00044,PERSON_0788,CASE_0248,extortion,2025-01-12 06:21:52,acquitted,acquitted,CRIMINAL_RECORDS_DATABASE,0.96
HIST_00045,PERSON_0660,CASE_0031,forgery,2021-12-30 18:28:37,accused,closed,CRIMINAL_RECORDS_DATABASE,0.72
HIST_00046,PERSON_0705,CASE_0113,extortion,2024-06-24 15:42:07,convicted,closed,CRIMINAL_RECORDS_DATABASE,0.74
HIST_00047,PERSON_0705,CASE_0244,financial fraud,2023-06-26 06:15:11,acquitted,acquitted,CRIMINAL_RECORDS_DATABASE,0.66
HIST_00048,PERSON_1433,CASE_0232,vehicle theft,2022-08-03 06:27:19,witness,ongoing_investigation,CRIMINAL_RECORDS_DATABASE,0.86
HIST_00049,PERSON_1433,CASE_0223,smuggling,2025-04-04 15:54:30,witness,acquitted,CRIMINAL_RECORDS_DATABASE,0.8
HIST_00050,PERSON_0937,CASE_0209,illegal betting,2024-04-12 04:46:09,witness,closed,CRIMINAL_RECORDS_DATABASE,0.78
HIST_00051,PERSON_0937,CASE_0201,robbery,2023-07-03 23:30:53,convicted,acquitted,CRIMINAL_RECORDS_DATABASE,0.88
HIST_00052,PERSON_0198,CASE_0078,organized theft,2025-10-13 03:42:39,accused,chargesheet_filed,CRIMINAL_RECORDS_DATABASE,0.95
HIST_00053,PERSON_1035,CASE_0017,forgery,2026-05-24 14:24:59,convicted,ongoing_investigation,CRIMINAL_RECORDS_DATABASE,0.93
HIST_00054,PERSON_0219,CASE_0271,organized financial crime,2023-05-10 15:20:51,accused,chargesheet_filed,CRIMINAL_RECORDS_DATABASE,0.64
HIST_00055,PERSON_0219,CASE_0185,illegal betting,2023-02-26 15:01:12,accused,acquitted,CRIMINAL_RECORDS_DATABASE,0.63
HIST_00056,PERSON_0994,CASE_0085,forgery,2024-10-26 14:21:47,convicted,ongoing_investigation,CRIMINAL_RECORDS_DATABASE,0.66
HIST_00057,PERSON_0298,CASE_0116,organized theft,2026-04-02 10:36:50,convicted,acquitted,CRIMINAL_RECORDS_DATABASE,0.89
HIST_00058,PERSON_0993,CASE_0104,organized financial crime,2024-08-16 11:58:37,convicted,ongoing_investigation,CRIMINAL_RECORDS_DATABASE,0.64
HIST_00059,PERSON_0580,CASE_0282,smuggling,2022-05-25 22:37:43,witness,ongoing_investigation,CRIMINAL_RECORDS_DATABASE,0.78
HIST_00060,PERSON_1476,CASE_0170,robbery,2024-05-29 19:10:37,convicted,acquitted,CRIMINAL_RECORDS_DATABASE,0.73
HIST_00061,PERSON_0547,CASE_0039,cyber fraud,2024-10-24 22:52:23,convicted,closed,CRIMINAL_RECORDS_DATABASE,0.88
HIST_00062,PERSON_0971,CASE_0275,smuggling,2024-05-24 09:53:44,accused,acquitted,CRIMINAL_RECORDS_DATABASE,0.86
HIST_00063,PERSON_0467,CASE_0251,vehicle theft,2022-09-27 05:11:07,convicted,acquitted,CRIMINAL_RECORDS_DATABASE,0.66
HIST_00064,PERSON_0423,CASE_0182,robbery,2025-01-10 10:40:32,accused,chargesheet_filed,CRIMINAL_RECORDS_DATABASE,0.84
HIST_00065,PERSON_1343,CASE_0259,illegal betting,2024-05-09 08:18:08,witness,closed,CRIMINAL_RECORDS_DATABASE,0.61
