device_id,device_type,first_seen,source
DEVICE_00001,smartphone,2024-07-21 00:00:15,TELCO_REGISTRY
DEVICE_00002,feature_phone,2025-09-24 12:27:42,TELCO_REGISTRY
DEVICE_00003,smartphone,2024-12-26 08:42:26,TELCO_REGISTRY
DEVICE_00004,feature_phone,2025-02-21 20:50:59,TELCO_REGISTRY
DEVICE_00005,feature_phone,2026-03-10 08:10:10,TELCO_REGISTRY
DEVICE_00006,smartphone,2023-01-29 07:47:59,TELCO_REGISTRY
DEVICE_00007,smartphone,2025-05-13 22:03:07,TELCO_REGISTRY
DEVICE_00008,feature_phone,2024-10-18 06:06:41,TELCO_REGISTRY
DEVICE_00009,feature_phone,2025-03-07 09:21:00,TELCO_REGISTRY
DEVICE_00010,smartphone,2025-06-07 11:06:38,TELCO_REGISTRY
DEVICE_00011,smartphone,2025-10-04 01:07:22,TELCO_REGISTRY
DEVICE_00012,smartphone,2024-05-26 18:18:53,TELCO_REGISTRY
DEVICE_00013,feature_phone,2025-02-12 04:46:41,TELCO_REGISTRY
DEVICE_00014,smartphone,2024-06-28 07:11:29,TELCO_REGISTRY
DEVICE_00015,feature_phone,2024-12-06 11:38:28,TELCO_REGISTRY
DEVICE_00016,smartphone,2023-11-22 13:56:24,TELCO_REGISTRY
DEVICE_00017,smartphone,2023-10-09 05:27:21,TELCO_REGISTRY
DEVICE_00018,smartphone,2025-07-22 15:54:18,TELCO_REGISTRY
DEVICE_00019,feature_phone,2024-02-12 08:48:31,TELCO_REGISTRY
DEVICE_00020,feature_phone,2025-06-24 19:41:51,TELCO_REGISTRY
DEVICE_00021,smartphone,2024-12-25 19:57:19,TELCO_REGISTRY
DEVICE_00022,smartphone,2024-12-24 06:25:14,TELCO_REGISTRY
DEVICE_00023,feature_phone,2025-08-14 05:24:21,TELCO_REGISTRY
DEVICE_00024,smartphone,2025-04-16 17:02:44,TELCO_REGISTRY
DEVICE_00025,feature_phone,2025-01-09 21:00:45,TELCO_REGISTRY
DEVICE_00026,smartphone,2026-01-15 02:07:45,TELCO_REGISTRY
DEVICE_00027,feature_phone,2025-05-29 06:36:18,TELCO_REGISTRY
DEVICE_00028,feature_phone,2025-09-03 20:13:07,TELCO_REGISTRY
DEVICE_00029,feature_phone,2025-12-10 11:32:17,TELCO_REGISTRY
DEVICE_00030,smartphone,2025-10-31 08:57:01,TELCO_REGISTRY
DEVICE_00031,feature_phone,2025-08-06 17:41:20,TELCO_REGISTRY
DEVICE_00032,feature_phone,2025-05-20 16:30:05,TELCO_REGISTRY
DEVICE_00033,feature_phone,2024-07-27 15:31:11,TELCO_REGISTRY
DEVICE_00034,smartphone,2025-11-19 11:04:11,TELCO_REGISTRY
DEVICE_00035,smartphone,2023-09-04 00:08:05,TELCO_REGISTRY
DEVICE_00036,smartphone,2025-12-31 08:01:14,TELCO_REGISTRY
DEVICE_00037,feature_phone,2025-08-24 16:02:04,TELCO_REGISTRY
DEVICE_00038,smartphone,2024-10-08 12:43:30,TELCO_REGISTRY
DEVICE_00039,feature_phone,2023-04-16 19:05:32,TELCO_REGISTRY
DEVICE_00040,smartphone,2023-09-30 20:57:22,TELCO_REGISTRY
DEVICE_00041,smartphone,2023-02-16 16:38:00,TELCO_REGISTRY
DEVICE_00042,smartphone,2024-09-07 18:51:43,TELCO_REGISTRY
DEVICE_00043,feature_phone,2023-08-27 13:26:45,TELCO_REGISTRY
DEVICE_00044,smartphone,2026-04-05 20:19:35,TELCO_REGISTRY
