transaction_id,timestamp,sender_account_id,receiver_account_id,amount,transaction_type,channel,location_id,reference,case_id,confidence
TXN_000001,2025-08-19 19:24:50,ACCOUNT_00084,ACCOUNT_00114,18885.32,UPI,net_banking,LOCATION_0238,REF0000001,,0.87
TXN_000002,2025-08-20 15:24:50,ACCOUNT_00114,ACCOUNT_00143,14825.38,UPI,atm,LOCATION_0025,REF0000002,CASE_0001,0.89
TXN_000003,2025-08-21 07:24:50,ACCOUNT_00143,ACCOUNT_00050,9322.76,UPI,branch,LOCATION_0225,REF0000003,CASE_0001,0.97
TXN_000004,2025-08-21 19:24:50,ACCOUNT_00050,ACCOUNT_00146,7044.75,IMPS,atm,LOCATION_0172,REF0000004,CASE_0001,0.97
TXN_000005,2025-09-02 19:24:50,ACCOUNT_00147,ACCOUNT_00084,2674.08,cash deposit,atm,LOCATION_0107,REF0000005,,0.96
TXN_000006,2025-07-27 01:37:23,ACCOUNT_00109,ACCOUNT_00033,33899.99,UPI,net_banking,LOCATION_0190,REF0000006,CASE_0002,0.95
TXN_000007,2025-07-28 07:37:23,ACCOUNT_00033,ACCOUNT_00026,26636.04,UPI,branch,LOCATION_0300,REF0000007,CASE_0002,0.98
TXN_000008,2025-07-29 13:37:23,ACCOUNT_00026,ACCOUNT_00076,18212.54,UPI,atm,LOCATION_0248,REF0000008,CASE_0002,0.89
TXN_000009,2025-08-05 01:37:23,ACCOUNT_00135,ACCOUNT_00109,8617.18,cash deposit,branch,LOCATION_0230,REF0000009,CASE_0002,0.89
TXN_000010,2025-10-07 09:03:43,ACCOUNT_00027,ACCOUNT_00089,30265.51,UPI,mobile_app,LOCATION_0144,REF0000010,CASE_0003,0.9
TXN_000011,2025-10-07 21:03:43,ACCOUNT_00089,ACCOUNT_00040,26131.41,IMPS,branch,LOCATION_0009,REF0000011,CASE_0003,0.95
TXN_000012,2025-10-08 10:03:43,ACCOUNT_00040,ACCOUNT_00108,21999.04,IMPS,atm,LOCATION_0283,REF0000012,CASE_0003,0.87
TXN_000013,2025-10-22 09:03:43,ACCOUNT_00098,ACCOUNT_00027,5657.51,cash deposit,net_banking,LOCATION_0031,REF0000013,CASE_0003,0.93
TXN_000014,2025-11-08 15:19:44,ACCOUNT_00128,ACCOUNT_00091,13150.9,NEFT,mobile_app,LOCATION_0058,REF0000014,CASE_0004,0.91
TXN_000015,2025-11-09 15:19:44,ACCOUNT_00091,ACCOUNT_00104,9936.92,NEFT,branch,LOCATION_0244,REF0000015,CASE_0004,0.95
TXN_000016,2025-11-10 16:19:44,ACCOUNT_00104,ACCOUNT_00092,5992.86,UPI,atm,LOCATION_0049,REF0000016,CASE_0004,0.98
TXN_000017,2025-11-24 15:19:44,ACCOUNT_00127,ACCOUNT_00128,2086.78,cash deposit,branch,LOCATION_0248,REF0000017,CASE_0004,0.87
TXN_000018,2025-05-12 15:02:21,ACCOUNT_00003,ACCOUNT_00002,6807.9,IMPS,branch,LOCATION_0057,REF0000018,CASE_0005,0.95
TXN_000019,2025-05-13 08:02:21,ACCOUNT_00002,ACCOUNT_00061,4179.6,NEFT,branch,LOCATION_0161,REF0000019,CASE_0005,0.94
