fir_id,case_id,date,crime_type,complainant_id,accused_id,witness_id,location_id,narrative,source,confidence
FIR_0001,CASE_0001,2025-08-30 04:24:50,financial fraud,PERSON_0282,PERSON_1459,PERSON_1237,LOCATION_0041,Investigating officer noted unusual movement in the area prior to the reported incident. Primary suspect identified on scene.,POLICE_STATION_RECORD,0.89
FIR_0002,CASE_0002,2025-07-31 02:37:23,smuggling,PERSON_0898,PERSON_1104,PERSON_0837,LOCATION_0182,Complainant could not clearly identify all persons involved; further verification is required.,POLICE_STATION_RECORD,0.63
FIR_0003,CASE_0003,2025-10-16 02:03:43,extortion,PERSON_0481,PERSON_0833,PERSON_0840,LOCATION_0203,Complainant stated that an associate of the accused was present at LOCATION_0203 shortly before the incident.,POLICE_STATION_RECORD,0.88
FIR_0004,CASE_0004,2025-11-18 23:19:44,illegal betting,PERSON_0916,PERSON_1060,PERSON_0853,LOCATION_0264,Complainant could not clearly identify all persons involved; further verification is required.,POLICE_STATION_RECORD,0.88
FIR_0005,CASE_0005,2025-05-14 16:02:21,forgery,PERSON_0978,PERSON_1468,PERSON_0275,LOCATION_0155,Complainant stated that an associate of the accused was present at LOCATION_0155 shortly before the incident.,POLICE_STATION_RECORD,0.66
FIR_0006,CASE_0006,2026-01-01 11:52:31,cyber fraud,PERSON_0188,PERSON_0266,PERSON_0297,LOCATION_0266,Witness reported that an individual known as Rajesh G. was seen near the location before the incident.,POLICE_STATION_RECORD,0.88
FIR_0007,CASE_0007,2025-01-20 15:26:00,organized theft,PERSON_1288,PERSON_1303,PERSON_0568,LOCATION_0027,Investigating officer noted unusual movement in the area prior to the reported incident.,POLICE_STATION_RECORD,0.74
FIR_0008,CASE_0008,2025-05-12 15:08:40,smuggling,PERSON_1426,PERSON_0398,PERSON_0234,LOCATION_0188,Complainant stated that an associate of the accused was present at LOCATION_0188 shortly before the incident.,POLICE_STATION_RECORD,0.79
FIR_0009,CASE_0009,2025-12-02 19:55:34,cyber fraud,PERSON_0391,PERSON_0945,PERSON_1227,LOCATION_0009,Witness reported that an individual known as Ravi G. was seen near the location before the incident.,POLICE_STATION_RECORD,0.94
FIR_0010,CASE_0010,2025-10-20 19:19:44,organized theft,PERSON_0462,PERSON_0030,PERSON_0028,LOCATION_0190,Complainant could not clearly identify all persons involved; further verification is required.,POLICE_STATION_RECORD,0.73
FIR_0011,CASE_0011,2025-06-18 06:34:20,robbery,PERSON_0433,PERSON_1007,PERSON_0041,LOCATION_0251,Complainant stated that an associate of the accused was present at LOCATION_0251 shortly before the incident.,POLICE_STATION_RECORD,0.84
FIR_0012,CASE_0012,2025-04-05 18:34:43,financial fraud,PERSON_0775,PERSON_0580,PERSON_0678,LOCATION_0242,Complainant could not clearly identify all persons involved; further verification is required.,POLICE_STATION_RECORD,0.59
FIR_0013,CASE_0013,2025-09-17 17:27:59,smuggling,PERSON_0460,PERSON_0804,,LOCATION_0102,Standalone synthetic case; limited relational clues in narrative.,POLICE_STATION_RECORD,0.62
FIR_0014,CASE_0014,2026-03-14 16:09:19,vehicle theft,PERSON_1265,PERSON_0101,,LOCATION_0298,Standalone synthetic case; limited relational clues in narrative.,POLICE_STATION_RECORD,0.7
FIR_0015,CASE_0015,2025-04-28 23:38:55,forgery,PERSON_0549,PERSON_1140,,LOCATION_0091,Standalone synthetic case; limited relational clues in narrative.,POLICE_STATION_RECORD,0.57
FIR_0016,CASE_0016,2025-05-15 11:26:48,smuggling,PERSON_0823,PERSON_0976,,LOCATION_0102,Standalone synthetic case; limited relational clues in narrative.,POLICE_STATION_RECORD,0.77
FIR_0017,CASE_0017,2024-07-12 20:28:49,smuggling,PERSON_1053,PERSON_0518,,LOCATION_0181,Standalone synthetic case; limited relational clues in narrative.,POLICE_STATION_RECORD,0.87
FIR_0018,CASE_0018,2024-08-13 16:52:35,illegal betting,PERSON_1022,PERSON_1023,,LOCATION_0118,Standalone synthetic case; limited relational clues in narrative.,POLICE_STATION_RECORD,0.89
FIR_0019,CASE_0019,2025-02-13 16:32:16,financial fraud,PERSON_0838,PERSON_1033,,LOCATION_0111,Standalone synthetic case; limited relational clues in narrative.,POLICE_STATION_RECORD,0.67
FIR_0020,CASE_0020,2024-09-05 19:54:30,financial fraud,PERSON_0432,PERSON_0006,,LOCATION_0244,Standalone synthetic case; limited relational clues in narrative.,POLICE_STATION_RECORD,0.63
