location_event_id,timestamp,entity_type,entity_id,tower_id,location_id,source,accuracy,confidence
LOCEV_000001,2025-09-17 10:08:49,PHONE,PHONE_00816,TOWER_0051,LOCATION_0231,CDR_DERIVED,0.53,0.9
LOCEV_000002,2024-09-10 23:41:49,PHONE,PHONE_01987,TOWER_0067,LOCATION_0227,CDR_DERIVED,0.94,0.9
LOCEV_000003,2024-11-27 00:27:08,PHONE,PHONE_00497,TOWER_0035,LOCATION_0205,CDR_DERIVED,0.8,0.93
LOCEV_000004,2024-01-19 02:47:57,PHONE,PHONE_00345,TOWER_0150,LOCATION_0200,CDR_DERIVED,0.67,0.88
LOCEV_000005,2024-10-23 19:35:36,PHONE,PHONE_00841,TOWER_0008,LOCATION_0278,CDR_DERIVED,0.55,0.91
LOCEV_000006,2025-02-01 16:59:18,PHONE,PHONE_00898,TOWER_0026,LOCATION_0186,CDR_DERIVED,0.61,0.87
LOCEV_000007,2025-09-02 21:46:41,PHONE,PHONE_01864,TOWER_0071,LOCATION_0221,CDR_DERIVED,0.97,0.91
LOCEV_000008,2024-06-13 15:25:19,PHONE,PHONE_00321,TOWER_0038,LOCATION_0188,CDR_DERIVED,0.87,0.93
LOCEV_000009,2026-03-28 15:36:06,PHONE,PHONE_01610,TOWER_0055,LOCATION_0225,CDR_DERIVED,0.73,0.85
LOCEV_000010,2024-04-22 16:50:01,PHONE,PHONE_00403,TOWER_0134,LOCATION_0164,CDR_DERIVED,0.82,0.95
LOCEV_000011,2025-04-29 01:21:55,PHONE,PHONE_01690,TOWER_0081,LOCATION_0261,CDR_DERIVED,0.63,0.96
LOCEV_000012,2024-03-06 06:36:51,PHONE,PHONE_00704,TOWER_0089,LOCATION_0139,CDR_DERIVED,0.72,0.91
LOCEV_000013,2025-02-04 19:36:30,PHONE,PHONE_01350,TOWER_0121,LOCATION_0011,CDR_DERIVED,0.81,0.87
LOCEV_000014,2024-05-22 14:32:38,PHONE,PHONE_01458,TOWER_0031,LOCATION_0151,CDR_DERIVED,0.85,0.9
LOCEV_000015,2025-07-13 11:42:47,PHONE,PHONE_00991,TOWER_0080,LOCATION_0190,CDR_DERIVED,0.55,0.85
LOCEV_000016,2026-01-23 21:32:14,PHONE,PHONE_01285,TOWER_0143,LOCATION_0193,CDR_DERIVED,0.52,0.9
LOCEV_000017,2024-08-09 20:20:10,PHONE,PHONE_00472,TOWER_0127,LOCATION_0207,CDR_DERIVED,0.67,0.89
LOCEV_000018,2025-02-22 18:17:50,PHONE,PHONE_01509,TOWER_0027,LOCATION_0167,CDR_DERIVED,0.71,0.98
LOCEV_000019,2024-09-01 12:33:56,PHONE,PHONE_01272,TOWER_0085,LOCATION_0145,CDR_DERIVED,0.77,0.87
LOCEV_000020,2024-01-22 15:25:55,PHONE,PHONE_01094,TOWER_0070,LOCATION_0020,CDR_DERIVED,0.98,0.95
LOCEV_000021,2025-11-27 19:50:55,PHONE,PHONE_00018,TOWER_0103,LOCATION_0113,CDR_DERIVED,0.58,0.94
LOCEV_000022,2026-03-08 21:30:05,PHONE,PHONE_00488,TOWER_0105,LOCATION_0155,CDR_DERIVED,0.79,0.9
LOCEV_000023,2025-01-02 20:05:39,PHONE,PHONE_00153,TOWER_0001,LOCATION_0041,CDR_DERIVED,0.55,0.93
LOCEV_000024,2025-04-08 09:01:01,PHONE,PHONE_00167,TOWER_0091,LOCATION_0181,CDR_DERIVED,0.87,0.92
LOCEV_000025,2025-11-27 07:47:11,PHONE,PHONE_00046,TOWER_0034,LOCATION_0134,CDR_DERIVED,0.86,0.98
LOCEV_000026,2026-03-07 01:38:04,PHONE,PHONE_01784,TOWER_0114,LOCATION_0074,CDR_DERIVED,0.82,0.97
LOCEV_000027,2025-08-15 01:46:08,PHONE,PHONE_01267,TOWER_0147,LOCATION_0227,CDR_DERIVED,0.77,0.98
LOCEV_000028,2026-04-26 23:08:56,PHONE,PHONE_00636,TOWER_0069,LOCATION_0079,CDR_DERIVED,0.84,0.91
LOCEV_000029,2024-08-31 15:19:13,PHONE,PHONE_01460,TOWER_0107,LOCATION_0137,CDR_DERIVED,0.91,0.95
LOCEV_000030,2024-03-22 18:26:36,PHONE,PHONE_01506,TOWER_0143,LOCATION_0193,CDR_DERIVED,0.77,0.99
LOCEV_000031,2026-05-03 01:45:42,PHONE,PHONE_00795,TOWER_0046,LOCATION_0166,CDR_DERIVED,0.95,0.92
LOCEV_000032,2024-11-24 13:19:04,PHONE,PHONE_01746,TOWER_0063,LOCATION_0073,CDR_DERIVED,0.6,0.89
