organization_id,organization_name,organization_type,city,known_activity,source_record_id,confidence
ORG_0001,Silver Group,informal association,Mumbai,informal lending,ORGREC_00001,0.59
ORG_0002,Classic Transport,social group,Bhopal,retail sales,ORGREC_00002,0.69
ORG_0003,Metro Trading Co.,social group,Mumbai,general trading,ORGREC_00003,0.81
ORG_0004,Green Finance,business,Bhopal,general trading,ORGREC_00004,0.81
ORG_0005,Star Distributors,front organization,Lucknow,no significant recorded activity,ORGREC_00005,0.84
ORG_0006,United Builders,business,Ahmedabad,real estate brokerage,ORGREC_00006,0.68
ORG_0007,Silver Traders,social group,Bhopal,vehicle rental,ORGREC_00007,0.91
ORG_0008,Bharat Trading Co.,social group,Pune,goods transport,ORGREC_00008,0.93
ORG_0009,Modern Enterprises,social group,Mumbai,import-export facilitation,ORGREC_00009,0.88
ORG_0010,Green Solutions,informal association,Ahmedabad,import-export facilitation,ORGREC_00010,0.68
ORG_0011,Star Finance,front organization,Indore,informal lending,ORGREC_00011,0.57
ORG_0012,Modern Builders,business,Bhopal,no significant recorded activity,ORGREC_00012,0.57
ORG_0013,Metro Traders,business,Hyderabad,goods transport,ORGREC_00013,0.54
ORG_0014,Silver Trading Co.,business,Mumbai,retail sales,ORGREC_00014,0.71
ORG_0015,Shree Motors,business,Jaipur,vehicle rental,ORGREC_00015,0.84
ORG_0016,Om Ventures,business,Pune,vehicle rental,ORGREC_00016,0.79
ORG_0017,Royal Solutions,financial entity,Jaipur,informal lending,ORGREC_00017,0.61
ORG_0018,Sun Motors,social group,Hyderabad,event management,ORGREC_00018,0.81
ORG_0019,Green Trading Co.,transport company,Lucknow,general trading,ORGREC_00019,0.74
ORG_0020,Modern Distributors,business,Lucknow,general trading,ORGREC_00020,0.54
ORG_0021,Royal Trading Co.,business,Delhi,no significant recorded activity,ORGREC_00021,0.82
ORG_0022,Modern Ventures,business,Chandigarh,event management,ORGREC_00022,0.78
ORG_0023,Green Transport,financial entity,Mumbai,informal lending,ORGREC_00023,0.86
ORG_0024,Silver Solutions,financial entity,Mumbai,event management,ORGREC_00024,0.56
ORG_0025,Classic Retail,business,Hyderabad,goods transport,ORGREC_00025,0.63
