phone_id,person_id,device_id,activation_date,deactivation_date,ownership_confidence,source
PHONE_00001,PERSON_0001,DEVICE_00001,2025-06-03 18:54:48,,0.85,TELCO_SUBSCRIBER_RECORD
PHONE_00002,PERSON_0002,DEVICE_00002,2026-03-17 01:19:39,,0.79,TELCO_SUBSCRIBER_RECORD
PHONE_00003,PERSON_0003,DEVICE_00003,2025-10-27 00:20:35,,0.92,TELCO_SUBSCRIBER_RECORD
PHONE_00004,PERSON_0004,DEVICE_00004,2026-01-26 12:47:51,,0.86,TELCO_SUBSCRIBER_RECORD
PHONE_00005,PERSON_0005,DEVICE_00005,2026-04-20 17:24:24,,0.94,TELCO_SUBSCRIBER_RECORD
PHONE_00006,PERSON_0006,DEVICE_00006,2025-06-08 05:41:39,,0.89,TELCO_SUBSCRIBER_RECORD
PHONE_00007,PERSON_0007,DEVICE_00007,2024-01-20 09:03:19,,0.8,TELCO_SUBSCRIBER_RECORD
PHONE_00008,PERSON_0008,DEVICE_00008,2024-05-09 02:18:01,,0.75,TELCO_SUBSCRIBER_RECORD
PHONE_00009,PERSON_0009,DEVICE_00009,2025-12-21 10:20:46,,0.75,TELCO_SUBSCRIBER_RECORD
PHONE_00010,PERSON_0010,DEVICE_00010,2025-04-09 18:05:14,,0.77,TELCO_SUBSCRIBER_RECORD
PHONE_00011,PERSON_0011,DEVICE_00011,2025-12-21 14:54:42,2026-04-17 00:26:17,0.86,TELCO_SUBSCRIBER_RECORD
PHONE_00012,PERSON_0012,DEVICE_00012,2025-10-15 01:49:09,,0.86,TELCO_SUBSCRIBER_RECORD
PHONE_00013,PERSON_0013,DEVICE_00013,2025-02-02 02:47:15,,0.77,TELCO_SUBSCRIBER_RECORD
PHONE_00014,PERSON_0014,DEVICE_00014,2024-05-26 03:38:58,,0.92,TELCO_SUBSCRIBER_RECORD
PHONE_00015,PERSON_0015,DEVICE_00015,2025-09-05 12:25:57,,0.77,TELCO_SUBSCRIBER_RECORD
