relationship_id,source_entity_id,source_entity_type,target_entity_id,target_entity_type,relationship_type,first_seen,last_seen,frequency,confidence,source_record_id,evidence_count,ground_truth_status
REL_000001,PERSON_0004,PERSON,PERSON_1191,PERSON,ASSOCIATED_WITH,2024-01-12 19:00:35,2026-05-11 22:03:50,27,0.73,CDR_AGG_PERSON_0004_PERSON_1191,12,FALSE_POSITIVE
REL_000002,PERSON_0010,PERSON,PERSON_1214,PERSON,ASSOCIATED_WITH,2024-03-11 09:14:55,2025-12-18 07:08:03,18,0.79,CDR_AGG_PERSON_0010_PERSON_1214,12,FALSE_POSITIVE
REL_000003,PERSON_0026,PERSON,PERSON_0397,PERSON,POTENTIAL_OPERATIONAL_LINK,2025-08-29 17:45:50,2025-08-29 21:20:50,2,0.82,CDR_AGG_PERSON_0026_PERSON_0397,2,CONFIRMED
REL_000004,PERSON_1476,PERSON,PERSON_0026,PERSON,POTENTIAL_OPERATIONAL_LINK,2025-08-11 08:24:50,2025-08-29 21:36:50,3,0.93,CDR_AGG_PERSON_1476_PERSON_0026,3,CONFIRMED
REL_000005,PERSON_0027,PERSON,PERSON_0248,PERSON,ASSOCIATED_WITH,2024-01-28 03:10:26,2026-02-23 12:38:11,36,0.57,CDR_AGG_PERSON_0027_PERSON_0248,12,FALSE_POSITIVE
REL_000006,PERSON_0030,PERSON,PERSON_0180,PERSON,POTENTIAL_OPERATIONAL_LINK,2025-09-18 04:19:44,2025-10-20 15:35:44,3,0.87,CDR_AGG_PERSON_0030_PERSON_0180,3,CONFIRMED
REL_000007,PERSON_0037,PERSON,PERSON_1449,PERSON,POTENTIAL_OPERATIONAL_LINK,2024-12-30 11:26:00,2025-01-19 20:47:00,3,0.88,CDR_AGG_PERSON_0037_PERSON_1449,3,CONFIRMED
REL_000008,PERSON_0037,PERSON,PERSON_1499,PERSON,POTENTIAL_OPERATIONAL_LINK,2024-12-09 05:26:00,2025-01-19 20:55:00,3,0.83,CDR_AGG_PERSON_0037_PERSON_1499,3,CONFIRMED
REL_000009,PERSON_0055,PERSON,PERSON_0867,PERSON,ASSOCIATED_WITH,2024-01-23 09:07:16,2026-06-28 07:36:59,37,0.66,CDR_AGG_PERSON_0055_PERSON_0867,12,FALSE_POSITIVE
REL_000010,PERSON_0077,PERSON,PERSON_1318,PERSON,ASSOCIATED_WITH,2024-03-26 17:12:36,2026-06-12 07:39:54,31,0.67,CDR_AGG_PERSON_0077_PERSON_1318,12,FALSE_POSITIVE
REL_000011,PERSON_0096,PERSON,PERSON_0950,PERSON,POTENTIAL_OPERATIONAL_LINK,2025-10-25 05:19:44,2025-11-18 16:28:44,4,0.94,CDR_AGG_PERSON_0096_PERSON_0950,4,CONFIRMED
REL_000012,PERSON_0098,PERSON,PERSON_0177,PERSON,ASSOCIATED_WITH,2024-01-20 18:19:46,2026-06-02 21:08:40,34,0.75,CDR_AGG_PERSON_0098_PERSON_0177,12,INNOCENT
REL_000013,PERSON_0104,PERSON,PERSON_1433,PERSON,POTENTIAL_OPERATIONAL_LINK,2025-09-21 06:19:44,2025-10-20 16:19:44,5,0.82,CDR_AGG_PERSON_0104_PERSON_1433,5,CONFIRMED
REL_000014,PERSON_0105,PERSON,PERSON_1002,PERSON,POTENTIAL_OPERATIONAL_LINK,2025-04-05 20:02:21,2025-05-14 16:33:21,5,0.79,CDR_AGG_PERSON_0105_PERSON_1002,5,CONFIRMED
REL_000015,PERSON_0105,PERSON,PERSON_1008,PERSON,POTENTIAL_OPERATIONAL_LINK,2025-05-14 13:11:21,2025-05-14 16:53:21,2,0.85,CDR_AGG_PERSON_0105_PERSON_1008,2,CONFIRMED
REL_000016,PERSON_0138,PERSON,PERSON_0871,PERSON,ASSOCIATED_WITH,2024-02-01 01:40:08,2026-06-22 19:31:24,24,0.57,CDR_AGG_PERSON_0138_PERSON_0871,12,FALSE_POSITIVE
REL_000017,PERSON_0173,PERSON,PERSON_0369,PERSON,ASSOCIATED_WITH,2024-01-07 23:06:34,2026-06-29 20:48:04,29,0.58,CDR_AGG_PERSON_0173_PERSON_0369,12,FALSE_POSITIVE
REL_000018,PERSON_0180,PERSON,PERSON_0551,PERSON,POTENTIAL_OPERATIONAL_LINK,2025-10-20 12:53:44,2025-10-20 15:53:44,2,0.87,CDR_AGG_PERSON_0180_PERSON_0551,2,CONFIRMED
REL_000019,PERSON_0216,PERSON,PERSON_1329,PERSON,ASSOCIATED_WITH,2024-01-14 10:39:16,2026-06-27 08:04:20,39,0.71,CDR_AGG_PERSON_0216_PERSON_1329,12,FALSE_POSITIVE
REL_000020,PERSON_0217,PERSON,PERSON_1217,PERSON,ASSOCIATED_WITH,2024-01-16 13:57:41,2026-05-04 03:53:35,21,0.65,CDR_AGG_PERSON_0217_PERSON_1217,12,FALSE_POSITIVE
REL_000021,PERSON_0225,PERSON,PERSON_0806,PERSON,ASSOCIATED_WITH,2024-02-14 13:14:31,2026-05-21 07:55:05,37,0.66,CDR_AGG_PERSON_0225_PERSON_0806,12,INNOCENT
REL_000022,PERSON_0243,PERSON,PERSON_0559,PERSON,ASSOCIATED_WITH,2024-02-18 12:57:33,2026-06-27 21:12:04,30,0.78,CDR_AGG_PERSON_0243_PERSON_0559,12,INNOCENT
REL_000023,PERSON_0256,PERSON,PERSON_1046,PERSON,POTENTIAL_OPERATIONAL_LINK,2025-06-17 16:53:20,2025-06-17 19:39:20,2,0.93,CDR_AGG_PERSON_0256_PERSON_1046,2,CONFIRMED
REL_000024,PERSON_0256,PERSON,PERSON_1376,PERSON,POTENTIAL_OPERATIONAL_LINK,2025-06-17 17:08:20,2025-06-17 19:31:20,2,0.84,CDR_AGG_PERSON_0256_PERSON_1376,2,CONFIRMED
REL_000025,PERSON_0261,PERSON,PERSON_0534,PERSON,ASSOCIATED_WITH,2024-01-13 17:35:18,2026-04-30 04:35:28,35,0.66,CDR_AGG_PERSON_0261_PERSON_0534,12,FALSE_POSITIVE
REL_000026,PERSON_0265,PERSON,PERSON_0730,PERSON,ASSOCIATED_WITH,2024-02-25 06:50:40,2026-03-26 09:52:11,20,0.69,CDR_AGG_PERSON_0265_PERSON_0730,12,FALSE_POSITIVE
REL_000027,PERSON_0266,PERSON,PERSON_1170,PERSON,POTENTIAL_OPERATIONAL_LINK,2025-12-21 07:52:31,2025-12-31 21:07:31,5,0.75,CDR_AGG_PERSON_0266_PERSON_1170,5,CONFIRMED
REL_000028,PERSON_0294,PERSON,PERSON_0440,PERSON,ASSOCIATED_WITH,2024-03-16 07:01:33,2026-06-27 05:34:10,25,0.78,CDR_AGG_PERSON_0294_PERSON_0440,12,FALSE_POSITIVE
REL_000029,PERSON_0339,PERSON,PERSON_1432,PERSON,ASSOCIATED_WITH,2024-01-11 16:10:59,2026-05-08 01:39:21,29,0.76,CDR_AGG_PERSON_0339_PERSON_1432,12,FALSE_POSITIVE
REL_000030,PERSON_0367,PERSON,PERSON_0413,PERSON,ASSOCIATED_WITH,2024-02-12 21:16:23,2026-06-25 04:33:44,28,0.75,CDR_AGG_PERSON_0367_PERSON_0413,12,FALSE_POSITIVE
REL_000031,PERSON_0371,PERSON,PERSON_0611,PERSON,ASSOCIATED_WITH,2024-02-05 00:34:04,2026-06-08 15:16:07,35,0.62,CDR_AGG_PERSON_0371_PERSON_0611,12,INNOCENT
REL_000032,PERSON_0373,PERSON,PERSON_0411,PERSON,ASSOCIATED_WITH,2024-01-25 19:47:16,2026-05-15 04:58:12,30,0.75,CDR_AGG_PERSON_0373_PERSON_0411,12,INNOCENT
REL_000033,PERSON_0397,PERSON,PERSON_0405,PERSON,POTENTIAL_OPERATIONAL_LINK,2025-08-29 17:55:50,2025-08-29 21:00:50,2,0.81,CDR_AGG_PERSON_0397_PERSON_0405,2,CONFIRMED
REL_000034,PERSON_0398,PERSON,PERSON_0736,PERSON,POTENTIAL_OPERATIONAL_LINK,2025-03-27 12:08:40,2025-05-12 06:46:40,3,0.77,CDR_AGG_PERSON_0398_PERSON_0736,3,CONFIRMED
REL_000035,PERSON_0403,PERSON,PERSON_0743,PERSON,ASSOCIATED_WITH,2024-01-21 12:09:31,2026-06-12 12:46:37,20,0.72,CDR_AGG_PERSON_0403_PERSON_0743,12,FALSE_POSITIVE
REL_000036,PERSON_0405,PERSON,PERSON_1459,PERSON,POTENTIAL_OPERATIONAL_LINK,2025-08-29 18:08:50,2025-08-29 20:35:50,2,0.93,CDR_AGG_PERSON_0405_PERSON_1459,2,CONFIRMED
REL_000037,PERSON_0417,PERSON,PERSON_1447,PERSON,ASSOCIATED_WITH,2024-01-09 23:21:19,2026-04-26 12:30:29,29,0.71,CDR_AGG_PERSON_0417_PERSON_1447,12,INNOCENT
REL_000038,PERSON_0423,PERSON,PERSON_0784,PERSON,POTENTIAL_OPERATIONAL_LINK,2025-04-05 10:42:43,2025-04-05 14:10:43,2,0.76,CDR_AGG_PERSON_0423_PERSON_0784,2,CONFIRMED
REL_000039,PERSON_0445,PERSON,PERSON_0673,PERSON,ASSOCIATED_WITH,2024-02-19 05:50:25,2026-05-13 05:29:18,18,0.76,CDR_AGG_PERSON_0445_PERSON_0673,12,INNOCENT
