social_record_id,person_id,platform_alias,username_alias,timestamp,content,mentioned_entity,location_id,confidence,source
SOC_000001,PERSON_1476,SnapCircle,user_person_1476,2025-05-06 00:42:39,"Everything is set for the evening, see you there.",PERSON_0397,LOCATION_0071,0.56,SOCIAL_MEDIA_MONITORING
SOC_000002,PERSON_0026,TalkStream,user_person_0026,2026-01-04 08:41:10,"Package ready, will hand it over as discussed.",PERSON_0397,LOCATION_0131,0.66,SOCIAL_MEDIA_MONITORING
SOC_000003,PERSON_1104,PicWall,user_person_1104,2025-03-04 03:01:22,"Plan is confirmed, let's proceed as talked about.",PERSON_1226,LOCATION_0232,0.48,SOCIAL_MEDIA_MONITORING
SOC_000004,PERSON_1226,SnapCircle,user_person_1226,2026-03-28 00:51:38,"Plan is confirmed, let's proceed as talked about.",PERSON_1104,LOCATION_0252,0.65,SOCIAL_MEDIA_MONITORING
SOC_000005,PERSON_0486,TalkStream,user_person_0486,2025-08-21 00:55:56,"Everything is set for the evening, see you there.",PERSON_0486,LOCATION_0093,0.56,SOCIAL_MEDIA_MONITORING
SOC_000006,PERSON_1343,SnapCircle,user_person_1343,2025-07-28 13:09:48,Meeting postponed. Same place tomorrow.,PERSON_1232,LOCATION_0273,0.52,SOCIAL_MEDIA_MONITORING
SOC_000007,PERSON_1060,ConnectHub,user_person_1060,2025-11-19 04:05:55,"Everything is set for the evening, see you there.",PERSON_0720,LOCATION_0054,0.7,SOCIAL_MEDIA_MONITORING
SOC_000008,PERSON_0720,SnapCircle,user_person_0720,2025-10-03 16:49:09,"Plan is confirmed, let's proceed as talked about.",PERSON_0950,LOCATION_0174,0.42,SOCIAL_MEDIA_MONITORING
SOC_000009,PERSON_1008,SnapCircle,user_person_1008,2025-03-04 18:46:50,"Plan is confirmed, let's proceed as talked about.",PERSON_1269,LOCATION_0105,0.56,SOCIAL_MEDIA_MONITORING
SOC_000010,PERSON_0105,ConnectHub,user_person_0105,2025-12-27 02:51:46,"Everything is set for the evening, see you there.",PERSON_1008,LOCATION_0145,0.55,SOCIAL_MEDIA_MONITORING
SOC_000011,PERSON_1190,ChirpNet,user_person_1190,2025-05-14 16:30:21,"Plan is confirmed, let's proceed as talked about.",PERSON_1170,LOCATION_0196,0.42,SOCIAL_MEDIA_MONITORING
SOC_000012,PERSON_1170,SnapCircle,user_person_1170,2025-07-17 20:03:12,"Plan is confirmed, let's proceed as talked about.",PERSON_1170,LOCATION_0116,0.45,SOCIAL_MEDIA_MONITORING
SOC_000013,PERSON_1499,ChirpNet,user_person_1499,2025-01-13 08:36:22,"Package ready, will hand it over as discussed.",PERSON_0037,LOCATION_0147,0.53,SOCIAL_MEDIA_MONITORING
SOC_000014,PERSON_0037,PicWall,user_person_0037,2025-03-14 01:23:41,"Package ready, will hand it over as discussed.",PERSON_1449,LOCATION_0107,0.42,SOCIAL_MEDIA_MONITORING
SOC_000015,PERSON_0398,PicWall,user_person_0398,2026-01-31 02:36:36,"Plan is confirmed, let's proceed as talked about.",PERSON_0398,LOCATION_0148,0.54,SOCIAL_MEDIA_MONITORING
SOC_000016,PERSON_0736,TalkStream,user_person_0736,2025-09-24 14:27:26,"Package ready, will hand it over as discussed.",PERSON_0398,LOCATION_0288,0.44,SOCIAL_MEDIA_MONITORING
SOC_000017,PERSON_0671,SnapCircle,user_person_0671,2025-10-03 10:36:32,Meeting postponed. Same place tomorrow.,PERSON_0945,LOCATION_0169,0.6,SOCIAL_MEDIA_MONITORING
SOC_000018,PERSON_0639,TalkStream,user_person_0639,2025-03-25 17:28:43,"Everything is set for the evening, see you there.",PERSON_1203,LOCATION_0079,0.66,SOCIAL_MEDIA_MONITORING
SOC_000019,PERSON_0104,ChirpNet,user_person_0104,2025-02-22 17:06:49,Keep this between us for now.,PERSON_0551,LOCATION_0120,0.61,SOCIAL_MEDIA_MONITORING
SOC_000020,PERSON_1433,TalkStream,user_person_1433,2025-03-12 10:14:14,Meeting postponed. Same place tomorrow.,PERSON_0030,LOCATION_0240,0.44,SOCIAL_MEDIA_MONITORING
SOC_000021,PERSON_1242,PicWall,user_person_1242,2025-03-16 12:23:01,Meeting postponed. Same place tomorrow.,PERSON_1242,LOCATION_0281,0.56,SOCIAL_MEDIA_MONITORING
SOC_000022,PERSON_1046,SnapCircle,user_person_1046,2025-09-29 11:26:26,Meeting postponed. Same place tomorrow.,PERSON_1242,LOCATION_0281,0.56,SOCIAL_MEDIA_MONITORING
SOC_000023,PERSON_0423,ConnectHub,user_person_0423,2025-08-05 17:08:20,"Plan is confirmed, let's proceed as talked about.",PERSON_0580,LOCATION_0092,0.43,SOCIAL_MEDIA_MONITORING
SOC_000024,PERSON_0784,PicWall,user_person_0784,2025-07-16 10:23:51,"Package ready, will hand it over as discussed.",PERSON_0903,LOCATION_0192,0.74,SOCIAL_MEDIA_MONITORING
SOC_000025,PERSON_0497,ChirpNet,user_person_0497,2025-10-01 02:59:46,Traffic was terrible near the market today.,,LOCATION_0095,0.73,SOCIAL_MEDIA_MONITORING
SOC_000026,PERSON_1118,TalkStream,user_person_1118,2024-05-13 04:50:29,Weather has been unusually warm this month.,,LOCATION_0207,0.85,SOCIAL_MEDIA_MONITORING
SOC_000027,PERSON_1264,PicWall,user_person_1264,2026-06-29 21:35:45,Happy to share we completed the delivery on time.,,LOCATION_0051,0.83,SOCIAL_MEDIA_MONITORING
SOC_000028,PERSON_1487,ConnectHub,user_person_1487,2025-06-26 02:00:09,"New shop opening next week, everyone welcome.",,LOCATION_0045,0.54,SOCIAL_MEDIA_MONITORING
SOC_000029,PERSON_0540,SnapCircle,user_person_0540,2025-06-01 09:30:24,"New shop opening next week, everyone welcome.",,LOCATION_0055,0.46,SOCIAL_MEDIA_MONITORING
SOC_000030,PERSON_0498,ConnectHub,user_person_0498,2024-07-29 23:35:39,Happy to share we completed the delivery on time.,,LOCATION_0279,0.72,SOCIAL_MEDIA_MONITORING
SOC_000031,PERSON_1255,ChirpNet,user_person_1255,2025-04-17 22:15:43,Weather has been unusually warm this month.,,LOCATION_0034,0.57,SOCIAL_MEDIA_MONITORING
SOC_000032,PERSON_1220,ChirpNet,user_person_1220,2025-09-16 16:51:17,"New shop opening next week, everyone welcome.",,LOCATION_0087,0.77,SOCIAL_MEDIA_MONITORING
SOC_000033,PERSON_1248,TalkStream,user_person_1248,2025-01-07 19:32:18,Traffic was terrible near the market today.,,LOCATION_0049,0.54,SOCIAL_MEDIA_MONITORING
SOC_000034,PERSON_0759,PicWall,user_person_0759,2025-11-18 17:08:02,Weather has been unusually warm this month.,,LOCATION_0001,0.76,SOCIAL_MEDIA_MONITORING
SOC_000035,PERSON_0495,PicWall,user_person_0495,2024-12-21 11:51:39,Weather has been unusually warm this month.,,LOCATION_0019,0.68,SOCIAL_MEDIA_MONITORING
SOC_000036,PERSON_1160,PicWall,user_person_1160,2024-07-09 10:43:57,Happy to share we completed the delivery on time.,,LOCATION_0049,0.4,SOCIAL_MEDIA_MONITORING
SOC_000037,PERSON_0403,ChirpNet,user_person_0403,2025-06-21 00:27:18,"New shop opening next week, everyone welcome.",,LOCATION_0024,0.64,SOCIAL_MEDIA_MONITORING
SOC_000038,PERSON_0375,PicWall,user_person_0375,2025-10-25 23:36:08,"Package ready, will hand it over as discussed.",PERSON_0646,LOCATION_0155,0.7,SOCIAL_MEDIA_MONITORING
SOC_000039,PERSON_0850,PicWall,user_person_0850,2025-11-06 03:02:55,"New shop opening next week, everyone welcome.",,LOCATION_0217,0.69,SOCIAL_MEDIA_MONITORING
SOC_000040,PERSON_0028,ChirpNet,user_person_0028,2026-06-04 04:35:52,Traffic was terrible near the market today.,,LOCATION_0251,0.62,SOCIAL_MEDIA_MONITORING
SOC_000041,PERSON_1419,TalkStream,user_person_1419,2024-11-07 19:47:35,Weather has been unusually warm this month.,,LOCATION_0177,0.82,SOCIAL_MEDIA_MONITORING
SOC_000042,PERSON_0923,ConnectHub,user_person_0923,2025-05-22 14:25:58,"Great weekend with family, back to work tomorrow.",,LOCATION_0070,0.76,SOCIAL_MEDIA_MONITORING
SOC_000043,PERSON_1117,ChirpNet,user_person_1117,2026-06-28 17:35:33,"Great weekend with family, back to work tomorrow.",,LOCATION_0140,0.62,SOCIAL_MEDIA_MONITORING
SOC_000044,PERSON_1301,TalkStream,user_person_1301,2024-12-06 06:48:08,"Great weekend with family, back to work tomorrow.",,LOCATION_0171,0.62,SOCIAL_MEDIA_MONITORING
SOC_000045,PERSON_0405,PicWall,user_person_0405,2025-02-25 08:57:28,Happy to share we completed the delivery on time.,,LOCATION_0192,0.69,SOCIAL_MEDIA_MONITORING
SOC_000046,PERSON_0213,PicWall,user_person_0213,2024-05-22 10:02:30,Weather has been unusually warm this month.,,LOCATION_0070,0.55,SOCIAL_MEDIA_MONITORING
SOC_000047,PERSON_0804,SnapCircle,user_person_0804,2026-02-18 14:00:42,"Great weekend with family, back to work tomorrow.",,LOCATION_0010,0.47,SOCIAL_MEDIA_MONITORING
SOC_000048,PERSON_1311,PicWall,user_person_1311,2025-08-28 02:23:22,"New shop opening next week, everyone welcome.",,LOCATION_0172,0.54,SOCIAL_MEDIA_MONITORING
SOC_000049,PERSON_0458,SnapCircle,user_person_0458,2024-09-28 09:54:44,"Great weekend with family, back to work tomorrow.",,LOCATION_0298,0.71,SOCIAL_MEDIA_MONITORING
SOC_000050,PERSON_1056,ChirpNet,user_person_1056,2024-04-06 07:47:54,Weather has been unusually warm this month.,,LOCATION_0248,0.76,SOCIAL_MEDIA_MONITORING
SOC_000051,PERSON_0910,ChirpNet,user_person_0910,2025-06-11 02:15:00,Traffic was terrible near the market today.,,LOCATION_0132,0.81,SOCIAL_MEDIA_MONITORING
SOC_000052,PERSON_1027,PicWall,user_person_1027,2026-01-11 10:55:35,Traffic was terrible near the market today.,,LOCATION_0001,0.41,SOCIAL_MEDIA_MONITORING
SOC_000053,PERSON_0132,ChirpNet,user_person_0132,2026-05-07 19:50:37,"Great weekend with family, back to work tomorrow.",,LOCATION_0174,0.64,SOCIAL_MEDIA_MONITORING
SOC_000054,PERSON_0926,TalkStream,user_person_0926,2024-04-03 05:10:42,"New shop opening next week, everyone welcome.",,LOCATION_0189,0.62,SOCIAL_MEDIA_MONITORING
SOC_000055,PERSON_0548,SnapCircle,user_person_0548,2025-01-20 12:43:55,"Everything is set for the evening, see you there.",PERSON_0491,LOCATION_0051,0.45,SOCIAL_MEDIA_MONITORING
SOC_000056,PERSON_0639,TalkStream,user_person_0639,2026-01-15 17:01:37,Meeting postponed. Same place tomorrow.,,LOCATION_0300,0.68,SOCIAL_MEDIA_MONITORING
SOC_000057,PERSON_0619,PicWall,user_person_0619,2024-10-30 01:16:01,Happy to share we completed the delivery on time.,,LOCATION_0100,0.78,SOCIAL_MEDIA_MONITORING
SOC_000058,PERSON_1488,SnapCircle,user_person_1488,2025-04-19 11:11:19,Weather has been unusually warm this month.,,LOCATION_0090,0.54,SOCIAL_MEDIA_MONITORING
SOC_000059,PERSON_0767,SnapCircle,user_person_0767,2025-04-26 14:04:22,Traffic was terrible near the market today.,,LOCATION_0179,0.78,SOCIAL_MEDIA_MONITORING
SOC_000060,PERSON_0539,SnapCircle,user_person_0539,2025-10-24 04:29:24,"Great weekend with family, back to work tomorrow.",,LOCATION_0030,0.5,SOCIAL_MEDIA_MONITORING
SOC_000061,PERSON_0654,PicWall,user_person_0654,2026-01-11 12:49:09,Weather has been unusually warm this month.,,LOCATION_0034,0.63,SOCIAL_MEDIA_MONITORING
SOC_000062,PERSON_0729,TalkStream,user_person_0729,2025-11-04 07:10:02,Happy to share we completed the delivery on time.,,LOCATION_0132,0.7,SOCIAL_MEDIA_MONITORING
SOC_000063,PERSON_1409,TalkStream,user_person_1409,2024-02-22 11:41:06,Weather has been unusually warm this month.,,LOCATION_0219,0.59,SOCIAL_MEDIA_MONITORING
SOC_000064,PERSON_0576,PicWall,user_person_0576,2026-06-15 19:37:34,"New shop opening next week, everyone welcome.",,LOCATION_0087,0.61,SOCIAL_MEDIA_MONITORING
SOC_000065,PERSON_1151,PicWall,user_person_1151,2025-11-11 10:51:06,Traffic was terrible near the market today.,,LOCATION_0085,0.62,SOCIAL_MEDIA_MONITORING
SOC_000066,PERSON_0178,TalkStream,user_person_0178,2026-05-05 23:27:50,"Great weekend with family, back to work tomorrow.",,LOCATION_0048,0.67,SOCIAL_MEDIA_MONITORING
SOC_000067,PERSON_0596,PicWall,user_person_0596,2025-01-28 09:47:50,"Great weekend with family, back to work tomorrow.",,LOCATION_0281,0.83,SOCIAL_MEDIA_MONITORING
SOC_000068,PERSON_0125,ConnectHub,user_person_0125,2024-10-10 02:19:21,Weather has been unusually warm this month.,,LOCATION_0124,0.45,SOCIAL_MEDIA_MONITORING
SOC_000069,PERSON_0686,PicWall,user_person_0686,2025-10-06 02:32:56,"New shop opening next week, everyone welcome.",,LOCATION_0066,0.49,SOCIAL_MEDIA_MONITORING
SOC_000070,PERSON_0598,TalkStream,user_person_0598,2025-09-16 16:29:48,"New shop opening next week, everyone welcome.",,LOCATION_0033,0.55,SOCIAL_MEDIA_MONITORING
SOC_000071,PERSON_0340,ChirpNet,user_person_0340,2024-12-05 20:34:22,"Great weekend with family, back to work tomorrow.",,LOCATION_0038,0.66,SOCIAL_MEDIA_MONITORING
SOC_000072,PERSON_0671,SnapCircle,user_person_0671,2026-03-31 08:02:15,Traffic was terrible near the market today.,,LOCATION_0146,0.54,SOCIAL_MEDIA_MONITORING
SOC_000073,PERSON_0758,ChirpNet,user_person_0758,2025-12-06 00:06:55,Weather has been unusually warm this month.,,LOCATION_0115,0.43,SOCIAL_MEDIA_MONITORING
SOC_000074,PERSON_0332,ChirpNet,user_person_0332,2024-10-08 20:38:27,Happy to share we completed the delivery on time.,,LOCATION_0250,0.51,SOCIAL_MEDIA_MONITORING
SOC_000075,PERSON_0007,PicWall,user_person_0007,2024-09-18 07:13:00,"Great weekend with family, back to work tomorrow.",,LOCATION_0293,0.55,SOCIAL_MEDIA_MONITORING
SOC_000076,PERSON_0169,ConnectHub,user_person_0169,2024-07-02 16:16:03,Traffic was terrible near the market today.,,LOCATION_0297,0.61,SOCIAL_MEDIA_MONITORING
SOC_000077,PERSON_0907,SnapCircle,user_person_0907,2024-03-23 15:15:19,"New shop opening next week, everyone welcome.",,LOCATION_0047,0.55,SOCIAL_MEDIA_MONITORING
SOC_000078,PERSON_1262,PicWall,user_person_1262,2024-10-04 16:25:10,"New shop opening next week, everyone welcome.",,LOCATION_0129,0.53,SOCIAL_MEDIA_MONITORING
SOC_000079,PERSON_0492,TalkStream,user_person_0492,2025-09-11 03:57:47,Weather has been unusually warm this month.,,LOCATION_0154,0.69,SOCIAL_MEDIA_MONITORING
SOC_000080,PERSON_0265,TalkStream,user_person_0265,2025-01-21 08:53:20,Weather has been unusually warm this month.,,LOCATION_0113,0.77,SOCIAL_MEDIA_MONITORING
SOC_000081,PERSON_0453,TalkStream,user_person_0453,2025-07-07 04:28:14,Weather has been unusually warm this month.,,LOCATION_0126,0.47,SOCIAL_MEDIA_MONITORING
SOC_000082,PERSON_0016,PicWall,user_person_0016,2024-02-29 12:12:22,Happy to share we completed the delivery on time.,,LOCATION_0210,0.48,SOCIAL_MEDIA_MONITORING
SOC_000083,PERSON_0245,PicWall,user_person_0245,2025-03-19 17:56:52,Weather has been unusually warm this month.,,LOCATION_0039,0.42,SOCIAL_MEDIA_MONITORING
SOC_000084,PERSON_0222,TalkStream,user_person_0222,2026-04-07 14:46:29,Traffic was terrible near the market today.,,LOCATION_0040,0.68,SOCIAL_MEDIA_MONITORING
SOC_000085,PERSON_0699,TalkStream,user_person_0699,2025-03-04 09:38:39,Traffic was terrible near the market today.,,LOCATION_0155,0.66,SOCIAL_MEDIA_MONITORING
SOC_000086,PERSON_0747,ConnectHub,user_person_0747,2025-10-31 05:41:02,Weather has been unusually warm this month.,,LOCATION_0244,0.79,SOCIAL_MEDIA_MONITORING
SOC_000087,PERSON_0558,ChirpNet,user_person_0558,2026-04-11 22:56:47,"New shop opening next week, everyone welcome.",,LOCATION_0074,0.85,SOCIAL_MEDIA_MONITORING
SOC_000088,PERSON_1344,SnapCircle,user_person_1344,2025-06-23 20:19:20,Traffic was terrible near the market today.,,LOCATION_0022,0.65,SOCIAL_MEDIA_MONITORING
SOC_000089,PERSON_0301,ConnectHub,user_person_0301,2026-04-18 04:02:56,"Package ready, will hand it over as discussed.",PERSON_0108,LOCATION_0031,0.59,SOCIAL_MEDIA_MONITORING
SOC_000090,PERSON_0911,PicWall,user_person_0911,2025-08-16 01:12:07,Weather has been unusually warm this month.,,LOCATION_0211,0.83,SOCIAL_MEDIA_MONITORING
SOC_000091,PERSON_0165,SnapCircle,user_person_0165,2025-03-26 20:13:54,"New shop opening next week, everyone welcome.",,LOCATION_0262,0.75,SOCIAL_MEDIA_MONITORING
SOC_000092,PERSON_0987,TalkStream,user_person_0987,2024-11-24 18:39:29,Weather has been unusually warm this month.,,LOCATION_0136,0.52,SOCIAL_MEDIA_MONITORING
SOC_000093,PERSON_1134,ConnectHub,user_person_1134,2026-05-18 09:15:03,Traffic was terrible near the market today.,,LOCATION_0056,0.84,SOCIAL_MEDIA_MONITORING
SOC_000094,PERSON_0926,PicWall,user_person_0926,2025-07-19 15:10:09,Weather has been unusually warm this month.,,LOCATION_0049,0.74,SOCIAL_MEDIA_MONITORING
SOC_000095,PERSON_1108,PicWall,user_person_1108,2025-07-07 10:35:42,Weather has been unusually warm this month.,,LOCATION_0194,0.59,SOCIAL_MEDIA_MONITORING
SOC_000096,PERSON_1260,PicWall,user_person_1260,2024-12-11 02:05:01,"New shop opening next week, everyone welcome.",,LOCATION_0224,0.55,SOCIAL_MEDIA_MONITORING
SOC_000097,PERSON_1411,SnapCircle,user_person_1411,2026-01-16 23:02:31,Traffic was terrible near the market today.,,LOCATION_0130,0.68,SOCIAL_MEDIA_MONITORING
SOC_000098,PERSON_0683,ConnectHub,user_person_0683,2024-11-23 18:46:55,"Everything is set for the evening, see you there.",,LOCATION_0258,0.46,SOCIAL_MEDIA_MONITORING
SOC_000099,PERSON_1342,SnapCircle,user_person_1342,2025-07-13 15:14:48,Happy to share we completed the delivery on time.,,LOCATION_0161,0.58,SOCIAL_MEDIA_MONITORING
SOC_000100,PERSON_0284,ChirpNet,user_person_0284,2024-05-23 13:54:11,Traffic was terrible near the market today.,,LOCATION_0162,0.49,SOCIAL_MEDIA_MONITORING
SOC_000101,PERSON_0228,ChirpNet,user_person_0228,2026-03-14 08:01:01,"New shop opening next week, everyone welcome.",,LOCATION_0236,0.42,SOCIAL_MEDIA_MONITORING
