event_id,timestamp,vehicle_id,location_id,event_type,source,confidence
VEVENT_000001,2025-07-13 19:24:24,VEHICLE_00625,LOCATION_0294,ANPR,FIELD_SURVEILLANCE,0.92
VEVENT_000002,2025-07-13 19:30:24,VEHICLE_00681,LOCATION_0294,ANPR,ANPR_CAMERA,0.93
VEVENT_000003,2025-07-13 19:36:24,VEHICLE_00625,LOCATION_0004,ANPR,POLICE_CHECKPOINT,0.9
VEVENT_000004,2025-07-13 19:40:24,VEHICLE_00681,LOCATION_0004,ANPR,POLICE_CHECKPOINT,0.97
VEVENT_000005,2025-07-13 19:48:24,VEHICLE_00625,LOCATION_0214,ANPR,ANPR_CAMERA,0.8
VEVENT_000006,2025-07-13 19:50:24,VEHICLE_00681,LOCATION_0214,ANPR,TOLL_PLAZA,0.97
VEVENT_000007,2025-07-13 20:00:24,VEHICLE_00625,LOCATION_0234,ANPR,FIELD_SURVEILLANCE,0.88
VEVENT_000008,2025-07-13 20:06:24,VEHICLE_00681,LOCATION_0234,ANPR,POLICE_CHECKPOINT,0.89
VEVENT_000009,2025-07-13 20:12:24,VEHICLE_00625,LOCATION_0174,ANPR,ANPR_CAMERA,0.89
VEVENT_000010,2025-07-13 20:14:24,VEHICLE_00681,LOCATION_0174,ANPR,ANPR_CAMERA,0.84
VEVENT_000011,2026-01-13 12:46:25,VEHICLE_00625,LOCATION_0294,ANPR,FIELD_SURVEILLANCE,0.84
VEVENT_000012,2026-01-13 12:51:25,VEHICLE_00681,LOCATION_0294,ANPR,FIELD_SURVEILLANCE,0.96
VEVENT_000013,2026-01-13 12:58:25,VEHICLE_00625,LOCATION_0004,ANPR,ANPR_CAMERA,0.94
VEVENT_000014,2026-01-13 13:02:25,VEHICLE_00681,LOCATION_0004,ANPR,TOLL_PLAZA,0.97
VEVENT_000015,2026-01-13 13:10:25,VEHICLE_00625,LOCATION_0214,ANPR,FIELD_SURVEILLANCE,0.89
VEVENT_000016,2026-01-13 13:16:25,VEHICLE_00681,LOCATION_0214,ANPR,POLICE_CHECKPOINT,0.85
VEVENT_000017,2026-01-13 13:22:25,VEHICLE_00625,LOCATION_0234,ANPR,TOLL_PLAZA,0.96
VEVENT_000018,2026-01-13 13:28:25,VEHICLE_00681,LOCATION_0234,ANPR,TOLL_PLAZA,0.93
VEVENT_000019,2026-01-13 13:34:25,VEHICLE_00625,LOCATION_0174,ANPR,FIELD_SURVEILLANCE,0.82
VEVENT_000020,2026-01-13 13:38:25,VEHICLE_00681,LOCATION_0174,ANPR,FIELD_SURVEILLANCE,0.82
VEVENT_000021,2024-09-28 19:07:27,VEHICLE_00625,LOCATION_0294,ANPR,FIELD_SURVEILLANCE,0.8
VEVENT_000022,2024-09-28 19:09:27,VEHICLE_00681,LOCATION_0294,ANPR,POLICE_CHECKPOINT,0.83
VEVENT_000023,2024-09-28 19:19:27,VEHICLE_00625,LOCATION_0004,ANPR,POLICE_CHECKPOINT,0.94
VEVENT_000024,2024-09-28 19:24:27,VEHICLE_00681,LOCATION_0004,ANPR,TOLL_PLAZA,0.84
VEVENT_000025,2024-09-28 19:31:27,VEHICLE_00625,LOCATION_0214,ANPR,FIELD_SURVEILLANCE,0.94
VEVENT_000026,2024-09-28 19:34:27,VEHICLE_00681,LOCATION_0214,ANPR,POLICE_CHECKPOINT,0.85
VEVENT_000027,2024-09-28 19:43:27,VEHICLE_00625,LOCATION_0234,ANPR,POLICE_CHECKPOINT,0.83
VEVENT_000028,2024-09-28 19:44:27,VEHICLE_00681,LOCATION_0234,ANPR,FIELD_SURVEILLANCE,0.89
VEVENT_000029,2024-09-28 19:55:27,VEHICLE_00625,LOCATION_0174,ANPR,ANPR_CAMERA,0.94
VEVENT_000030,2024-09-28 20:01:27,VEHICLE_00681,LOCATION_0174,ANPR,POLICE_CHECKPOINT,0.85
VEVENT_000031,2025-12-06 10:21:31,VEHICLE_00625,LOCATION_0294,ANPR,FIELD_SURVEILLANCE,0.93
VEVENT_000032,2025-12-06 10:22:31,VEHICLE_00681,LOCATION_0294,ANPR,POLICE_CHECKPOINT,0.86
VEVENT_000033,2025-12-06 10:33:31,VEHICLE_00625,LOCATION_0004,ANPR,ANPR_CAMERA,0.93
VEVENT_000034,2025-12-06 10:37:31,VEHICLE_00681,LOCATION_0004,ANPR,FIELD_SURVEILLANCE,0.81
VEVENT_000035,2025-12-06 10:45:31,VEHICLE_00625,LOCATION_0214,ANPR,FIELD_SURVEILLANCE,0.93
VEVENT_000036,2025-12-06 10:49:31,VEHICLE_00681,LOCATION_0214,ANPR,ANPR_CAMERA,0.88
VEVENT_000037,2025-12-06 10:57:31,VEHICLE_00625,LOCATION_0234,ANPR,ANPR_CAMERA,0.94
VEVENT_000038,2025-12-06 11:03:31,VEHICLE_00681,LOCATION_0234,ANPR,POLICE_CHECKPOINT,0.8
VEVENT_000039,2025-12-06 11:09:31,VEHICLE_00625,LOCATION_0174,ANPR,POLICE_CHECKPOINT,0.96
VEVENT_000040,2025-12-06 11:10:31,VEHICLE_00681,LOCATION_0174,ANPR,POLICE_CHECKPOINT,0.83
VEVENT_000041,2025-08-17 14:16:00,VEHICLE_00625,LOCATION_0294,ANPR,ANPR_CAMERA,0.94
VEVENT_000042,2025-08-17 14:17:00,VEHICLE_00681,LOCATION_0294,ANPR,FIELD_SURVEILLANCE,0.83
VEVENT_000043,2025-08-17 14:28:00,VEHICLE_00625,LOCATION_0004,ANPR,POLICE_CHECKPOINT,0.9
VEVENT_000044,2025-08-17 14:33:00,VEHICLE_00681,LOCATION_0004,ANPR,FIELD_SURVEILLANCE,0.86
VEVENT_000045,2025-08-17 14:40:00,VEHICLE_00625,LOCATION_0214,ANPR,TOLL_PLAZA,0.86
VEVENT_000046,2025-08-17 14:45:00,VEHICLE_00681,LOCATION_0214,ANPR,TOLL_PLAZA,0.83
VEVENT_000047,2025-08-17 14:52:00,VEHICLE_00625,LOCATION_0234,ANPR,TOLL_PLAZA,0.89
VEVENT_000048,2025-08-17 14:58:00,VEHICLE_00681,LOCATION_0234,ANPR,POLICE_CHECKPOINT,0.91
VEVENT_000049,2025-08-17 15:04:00,VEHICLE_00625,LOCATION_0174,ANPR,FIELD_SURVEILLANCE,0.97
VEVENT_000050,2025-08-17 15:09:00,VEHICLE_00681,LOCATION_0174,ANPR,POLICE_CHECKPOINT,0.88
VEVENT_000051,2025-11-10 08:54:46,VEHICLE_00625,LOCATION_0294,ANPR,TOLL_PLAZA,0.88
VEVENT_000052,2025-11-10 08:58:46,VEHICLE_00681,LOCATION_0294,ANPR,ANPR_CAMERA,0.96
