vehicle_id,owner_person_id,vehicle_type,model,registration_alias,ownership_start,ownership_end,confidence
VEHICLE_00001,PERSON_1476,SUV,SynModel-B5,IND-68-SYN-3004,2024-04-14 19:21:46,,0.93
VEHICLE_00002,PERSON_0026,hatchback,SynModel-X1,AHM-46-SYN-5898,2026-03-18 09:30:46,,0.87
VEHICLE_00003,PERSON_0397,hatchback,SynModel-B5,AHM-74-SYN-1118,2024-08-09 03:51:50,,0.94
VEHICLE_00004,PERSON_0405,SUV,SynModel-Y2,JAI-19-SYN-4769,2023-01-17 09:13:45,,0.81
VEHICLE_00005,PERSON_1459,two_wheeler,SynModel-A4,AHM-80-SYN-3720,2024-05-30 04:41:38,,0.89
VEHICLE_00006,PERSON_1104,SUV,SynModel-A4,HYD-82-SYN-7643,2023-03-14 22:37:33,,0.82
VEHICLE_00007,PERSON_1226,hatchback,SynModel-B5,HYD-22-SYN-1293,2023-01-04 10:36:50,,0.85
VEHICLE_00008,PERSON_0969,sedan,SynModel-Z3,IND-43-SYN-6242,2022-01-23 08:19:03,,0.84
VEHICLE_00009,PERSON_0809,hatchback,SynModel-Y2,BHO-67-SYN-9130,2024-07-07 20:47:15,,0.91
VEHICLE_00010,PERSON_0971,two_wheeler,SynModel-Y2,AHM-32-SYN-3885,2021-09-16 16:10:11,,0.88
VEHICLE_00011,PERSON_0427,hatchback,SynModel-X1,DEL-34-SYN-7930,2024-01-11 14:59:00,,0.89
VEHICLE_00012,PERSON_0107,commercial_van,SynModel-Y2,MUM-19-SYN-2698,2023-03-02 08:57:14,,0.85
VEHICLE_00013,PERSON_0332,two_wheeler,SynModel-B5,HYD-17-SYN-9673,2022-12-05 17:58:18,,0.81
VEHICLE_00014,PERSON_1469,hatchback,SynModel-B5,PUN-73-SYN-7859,2025-11-09 20:41:48,,0.92
VEHICLE_00015,PERSON_0486,sedan,SynModel-A4,CHD-76-SYN-6399,2022-06-22 17:37:35,,0.94
VEHICLE_00016,PERSON_0833,two_wheeler,SynModel-Y2,LKO-54-SYN-7921,2025-02-02 19:00:41,,0.94
VEHICLE_00017,PERSON_1232,commercial_van,SynModel-Z3,LKO-65-SYN-3346,2023-02-13 03:38:30,,0.84
VEHICLE_00018,PERSON_0754,hatchback,SynModel-X1,HYD-71-SYN-9417,2023-02-20 09:13:25,,0.83
VEHICLE_00019,PERSON_0818,two_wheeler,SynModel-Y2,JAI-82-SYN-9474,2022-09-21 21:46:25,,0.96
VEHICLE_00020,PERSON_0147,sedan,SynModel-Z3,HYD-77-SYN-5690,2022-09-11 16:17:07,,0.93
VEHICLE_00021,PERSON_0211,hatchback,SynModel-X1,LKO-69-SYN-5140,2022-03-27 18:08:31,,0.94
VEHICLE_00022,PERSON_0705,sedan,SynModel-A4,JAI-20-SYN-1494,2022-04-28 16:55:04,,0.85
VEHICLE_00023,PERSON_1060,commercial_van,SynModel-X1,IND-23-SYN-6566,2024-05-23 15:44:09,,0.84
VEHICLE_00024,PERSON_0720,sedan,SynModel-A4,CHD-25-SYN-5088,2023-10-30 19:18:51,,0.92
VEHICLE_00025,PERSON_0950,commercial_van,SynModel-B5,BHO-32-SYN-1992,2023-06-01 16:11:07,,0.83
VEHICLE_00026,PERSON_0096,SUV,SynModel-Z3,CHD-97-SYN-7427,2026-03-25 07:47:10,,0.94
VEHICLE_00027,PERSON_0677,hatchback,SynModel-Y2,MUM-52-SYN-4139,2026-04-25 13:41:16,,0.98
VEHICLE_00028,PERSON_0029,commercial_van,SynModel-B5,IND-40-SYN-7885,2021-11-24 17:52:22,,0.88
VEHICLE_00029,PERSON_0962,two_wheeler,SynModel-Z3,LKO-73-SYN-2557,2024-10-08 09:50:08,,0.8
VEHICLE_00030,PERSON_0998,two_wheeler,SynModel-Y2,BHO-10-SYN-2162,2023-12-11 14:13:13,,0.83
VEHICLE_00031,PERSON_0194,two_wheeler,SynModel-B5,LKO-18-SYN-2752,2023-02-05 02:47:05,,0.95
VEHICLE_00032,PERSON_1008,commercial_van,SynModel-A4,PUN-87-SYN-8263,2026-02-17 08:13:44,,0.91
VEHICLE_00033,PERSON_1002,hatchback,SynModel-B5,LKO-10-SYN-2797,2023-07-02 22:22:58,,0.88
VEHICLE_00034,PERSON_1269,hatchback,SynModel-B5,MUM-79-SYN-4420,2023-08-03 13:51:18,,0.98
