case_id,fir_id,crime_type,city,status,opened_date
CASE_0001,FIR_0001,financial fraud,Delhi,closed,2025-08-29 19:24:50
CASE_0002,FIR_0002,smuggling,Jaipur,under_investigation,2025-07-31 01:37:23
CASE_0007,FIR_0007,organized theft,Pune,chargesheet_filed,2025-01-19 19:26:00
CASE_0008,FIR_0008,smuggling,Indore,closed,2025-05-12 05:08:40
CASE_0009,FIR_0009,cyber fraud,Bhopal,under_investigation,2025-12-02 15:55:34
CASE_0010,FIR_0010,organized theft,Hyderabad,under_investigation,2025-10-20 14:19:44
CASE_0011,FIR_0011,robbery,Delhi,chargesheet_filed,2025-06-17 18:34:20
CASE_0012,FIR_0012,financial fraud,Jaipur,under_investigation,2025-04-05 12:34:43
CASE_0013,FIR_0013,smuggling,Jaipur,under_investigation,2025-09-17 05:27:59
CASE_0015,FIR_0015,forgery,Delhi,under_investigation,2025-04-28 19:38:55
CASE_0016,FIR_0016,smuggling,Jaipur,under_investigation,2025-05-15 04:26:48
CASE_0018,FIR_0018,illegal betting,Indore,under_investigation,2024-08-13 02:52:35
CASE_0019,FIR_0019,financial fraud,Delhi,chargesheet_filed,2025-02-13 07:32:16
CASE_0020,FIR_0020,financial fraud,Chandigarh,closed,2024-09-05 01:54:30
CASE_0022,FIR_0022,vehicle theft,Hyderabad,under_investigation,2024-09-05 19:41:02
CASE_0024,FIR_0024,illegal betting,Jaipur,chargesheet_filed,2024-06-29 07:15:55
CASE_0027,FIR_0027,cyber fraud,Indore,closed,2024-08-25 05:38:57
CASE_0028,FIR_0028,extortion,Indore,chargesheet_filed,2024-11-27 16:58:33
CASE_0030,FIR_0030,robbery,Pune,under_investigation,2024-06-21 02:57:03
CASE_0033,FIR_0033,vehicle theft,Jaipur,chargesheet_filed,2024-08-28 00:57:46
CASE_0034,FIR_0034,extortion,Lucknow,chargesheet_filed,2025-09-19 01:18:49
CASE_0035,FIR_0035,organized theft,Ahmedabad,chargesheet_filed,2024-09-05 02:09:41
CASE_0037,FIR_0037,forgery,Ahmedabad,under_investigation,2025-12-19 14:57:25
CASE_0040,FIR_0040,robbery,Delhi,closed,2025-10-27 12:40:40
CASE_0042,FIR_0042,organized financial crime,Mumbai,chargesheet_filed,2024-09-24 13:49:17
CASE_0046,FIR_0046,cyber fraud,Hyderabad,chargesheet_filed,2026-01-12 04:53:20
CASE_0047,FIR_0047,organized financial crime,Delhi,under_investigation,2024-09-12 08:08:26
