transaction_id,timestamp,sender_account_id,receiver_account_id,amount,transaction_type,channel,location_id,reference,case_id,confidence
TXN_000002,2025-08-20 15:24:50,ACCOUNT_00114,ACCOUNT_00143,14825.38,UPI,atm,LOCATION_0025,REF0000002,CASE_0001,0.89
TXN_000003,2025-08-21 07:24:50,ACCOUNT_00143,ACCOUNT_00050,9322.76,UPI,branch,LOCATION_0225,REF0000003,CASE_0001,0.97
TXN_000004,2025-08-21 19:24:50,ACCOUNT_00050,ACCOUNT_00146,7044.75,IMPS,atm,LOCATION_0172,REF0000004,CASE_0001,0.97
TXN_000006,2025-07-27 01:37:23,ACCOUNT_00109,ACCOUNT_00033,33899.99,UPI,net_banking,LOCATION_0190,REF0000006,CASE_0002,0.95
TXN_000007,2025-07-28 07:37:23,ACCOUNT_00033,ACCOUNT_00026,26636.04,UPI,branch,LOCATION_0300,REF0000007,CASE_0002,0.98
TXN_000008,2025-07-29 13:37:23,ACCOUNT_00026,ACCOUNT_00076,18212.54,UPI,atm,LOCATION_0248,REF0000008,CASE_0002,0.89
TXN_000009,2025-08-05 01:37:23,ACCOUNT_00135,ACCOUNT_00109,8617.18,cash deposit,branch,LOCATION_0230,REF0000009,CASE_0002,0.89
TXN_000025,2025-01-11 19:26:00,ACCOUNT_00016,ACCOUNT_00125,39410.34,IMPS,mobile_app,LOCATION_0280,REF0000025,CASE_0007,0.85
TXN_000026,2025-01-12 05:26:00,ACCOUNT_00125,ACCOUNT_00132,35714.74,UPI,atm,LOCATION_0017,REF0000026,CASE_0007,0.89
TXN_000027,2025-01-13 05:26:00,ACCOUNT_00132,ACCOUNT_00022,20760.29,IMPS,atm,LOCATION_0239,REF0000027,CASE_0007,0.94
TXN_000028,2025-01-31 19:26:00,ACCOUNT_00062,ACCOUNT_00016,6370.84,cash deposit,branch,LOCATION_0192,REF0000028,CASE_0007,0.94
TXN_000029,2025-05-03 05:08:40,ACCOUNT_00052,ACCOUNT_00107,24367.41,UPI,atm,LOCATION_0256,REF0000029,CASE_0008,0.9
TXN_000030,2025-05-03 23:08:40,ACCOUNT_00107,ACCOUNT_00068,17366.18,NEFT,atm,LOCATION_0278,REF0000030,CASE_0008,0.89
TXN_000031,2025-05-24 05:08:40,ACCOUNT_00074,ACCOUNT_00052,8460.29,cash deposit,net_banking,LOCATION_0256,REF0000031,CASE_0008,0.94
TXN_000032,2025-11-28 15:55:34,ACCOUNT_00048,ACCOUNT_00035,15160.21,IMPS,branch,LOCATION_0066,REF0000032,CASE_0009,0.85
TXN_000033,2025-11-29 10:55:34,ACCOUNT_00035,ACCOUNT_00038,14230.33,IMPS,atm,LOCATION_0070,REF0000033,CASE_0009,0.92
TXN_000034,2025-11-29 18:55:34,ACCOUNT_00038,ACCOUNT_00177,10544.46,IMPS,mobile_app,LOCATION_0123,REF0000034,CASE_0009,0.89
TXN_000035,2025-12-04 15:55:34,ACCOUNT_00151,ACCOUNT_00048,4716.78,cash deposit,branch,LOCATION_0265,REF0000035,CASE_0009,0.89
TXN_000036,2025-10-17 14:19:44,ACCOUNT_00117,ACCOUNT_00072,14340.61,NEFT,net_banking,LOCATION_0203,REF0000036,CASE_0010,0.95
TXN_000037,2025-10-18 14:19:44,ACCOUNT_00072,ACCOUNT_00150,8488.79,NEFT,mobile_app,LOCATION_0158,REF0000037,CASE_0010,0.87
TXN_000038,2025-10-19 19:19:44,ACCOUNT_00150,ACCOUNT_00155,5761.98,UPI,mobile_app,LOCATION_0081,REF0000038,CASE_0010,0.96
TXN_000039,2025-10-20 18:19:44,ACCOUNT_00155,ACCOUNT_00160,3591.29,NEFT,net_banking,LOCATION_0070,REF0000039,CASE_0010,0.95
TXN_000040,2025-10-29 14:19:44,ACCOUNT_00001,ACCOUNT_00117,1424.03,cash deposit,net_banking,LOCATION_0289,REF0000040,CASE_0010,0.86
TXN_000041,2025-06-09 18:34:20,ACCOUNT_00031,ACCOUNT_00144,16983.25,NEFT,net_banking,LOCATION_0202,REF0000041,CASE_0011,0.95
TXN_000042,2025-06-10 15:34:20,ACCOUNT_00144,ACCOUNT_00116,11120.23,UPI,net_banking,LOCATION_0288,REF0000042,CASE_0011,0.85
TXN_000043,2025-06-11 19:34:20,ACCOUNT_00116,ACCOUNT_00029,9334.19,NEFT,branch,LOCATION_0119,REF0000043,CASE_0011,0.86
TXN_000044,2025-06-24 18:34:20,ACCOUNT_00156,ACCOUNT_00031,2136.56,cash deposit,mobile_app,LOCATION_0242,REF0000044,CASE_0011,0.92
TXN_000045,2025-03-26 12:34:43,ACCOUNT_00088,ACCOUNT_00024,31147.76,IMPS,atm,LOCATION_0263,REF0000045,CASE_0012,0.95
TXN_000046,2025-03-26 23:34:43,ACCOUNT_00024,ACCOUNT_00082,16546.98,NEFT,net_banking,LOCATION_0247,REF0000046,CASE_0012,0.95
TXN_000047,2025-03-27 16:34:43,ACCOUNT_00082,ACCOUNT_00170,14152.23,UPI,atm,LOCATION_0084,REF0000047,CASE_0012,0.97
TXN_000048,2025-03-28 21:34:43,ACCOUNT_00170,ACCOUNT_00047,7862.41,IMPS,atm,LOCATION_0055,REF0000048,CASE_0012,0.89
TXN_000049,2025-04-12 12:34:43,ACCOUNT_00005,ACCOUNT_00088,1865.45,cash deposit,branch,LOCATION_0155,REF0000049,CASE_0012,0.94
